Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,488,621,611,332,396,498,504,616,588,424,289,225,12,427,432,435,424,450,436,425,381,666,341,318,313,282,290,243,216,221,213,190,209,197,189,313,166,152,144
Depreciation & Amortization,118,117,121,260,67,172,136,165,152,159,103,112,204,193,165,141,134,132,114,121,122,116,113,134,124,128,142,133,112,121,116,121,113,73,117,100,96,100,99
Share-Based Compensation,33,16,16,19,33,12,12,13,22,14,11,2,21,-3,12,12,20,1,12,10,18,13,8,9,18,8,4,7,4,2,7,9,6,24,10,0,19,3,24
Other Operating Activities,519,687,"2,252","-2,487","1,058",423,628,-214,"-1,452",269,255,-425,"-1,564",110,-216,-483,-106,-23,-770,155,183,-362,451,-777,398,-126,58,-53,42,54,-20,97,-230,-111,-130,-92,419,758,-26
Operating Cash Flow,"1,158","1,441","3,000","-1,876","1,554","1,105","1,280",580,-690,866,658,-86,"-1,327",727,393,105,472,560,-208,711,704,433,913,-316,853,292,494,330,374,398,316,417,98,183,186,321,700,"1,013",241
Operating Cash Flow Growth,-25.48%,30.41%,134.38%,-,-,27.60%,94.53%,-,-,19.12%,67.43%,-,-,29.82%,-,-85.23%,-32.95%,29.33%,-,-,-17.47%,48.29%,84.82%,-,128.07%,-26.63%,56.33%,-20.86%,281.63%,117.49%,69.89%,29.91%,-86.00%,-81.93%,-22.82%,-,-,-,-
Capital Expenditures,-52,15,-85,-5,-51,-65,-27,-22,-10,-119,54,-37,-16,-48,-37,-25,15,100,-122,-121,-89,-159,-106,-94,-53,-133,-63,-54,-50,-100,-64,-66,-54,-173,-47,-41,-47,-96,-90
Acquisitions,0,-20,-1,-91,-143,-151,-14,0,0,0,0,0,-3,0,0,0,-129,0,-533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,"1,771",-114,974,"-8,708","-3,537","-6,764","-1,011",-416,-640,-329,"2,009",944,"-8,574","-2,107",-400,266,"-1,304","-1,748","-1,019","-2,110","-1,016",137,"-1,923",-635,"-1,079","-2,482","-2,986","-3,251","-2,259","-1,598",848,"-3,156","-1,678","-2,537","-1,741",-522,"-4,978","-2,564","-4,615"
Other Investing Activities,-227,-39,-5,-644,-183,-519,-232,-193,-422,-189,37,262,-175,66,-61,-58,-53,-366,-16,-24,-13,-38,-10,-13,-11,-12,-13,-11,-12,-11,-10,-8,-8,-157,-9,-11,-11,-11,-11
Investing Cash Flow,"1,492",-158,883,"-9,448","-3,914","-7,499","-1,284",-631,"-1,072",-637,"2,100","1,169","-8,768","-2,089",-498,183,"-1,471","-2,014","-1,690","-2,255","-1,118",-60,"-2,039",-742,"-1,143","-2,627","-3,062","-3,316","-2,321","-1,709",774,"-3,230","-1,740","-2,867","-1,797",-574,"-5,036","-2,671","-4,716"
Dividends Paid,-205,-210,-209,-195,-165,-168,-167,-168,-167,-168,-168,-168,-168,-158,-162,-148,-149,-127,-129,-107,-108,-89,-90,-71,-72,-62,-62,-64,-53,-53,-53,-53,-55,-806,0,0,0,0,0
Share Issuance / Repurchase,-404,-151,0,-2,0,-200,0,0,-95,0,0,0,-270,-400,-500,-120,-200,-300,-400,-150,-175,-335,-225,-130,-130,-180,-250,0,0,0,-250,-250,0,-334,0,0,0,0,0
Debt Issued / Paid,"3,973",-669,"-1,635","8,191","-1,056",90,-56,"-1,360",-181,-760,-96,"-8,042","3,080",445,882,508,"-4,890",-826,"2,551",175,896,-884,-227,-61,"-1,508","1,896",70,"1,206",703,"2,020","-3,144",-891,142,"1,216","-2,280","3,808","3,986","3,957",385
Other Financing Activities,"-8,587","2,134",-393,-92,"4,359","2,114","1,302",-440,"4,132","4,216",-724,"10,515","8,125","1,019",692,71,"4,600","2,790",2,"1,632",628,"1,847",-379,"1,494","2,289","1,470","2,070","3,644",67,673,"1,244","1,872","3,283","2,995","1,424","-1,051",445,"-2,124","2,186"
Financing Cash Flow,"-5,223","1,104","-2,237","7,902","3,138","1,836","1,079","-1,968","3,689","3,288",-988,"2,305","10,767",906,912,311,-639,"1,537","2,024","1,550","1,241",539,-921,"1,232",579,"3,124","1,828","4,786",717,"2,640","-2,203",678,"3,370","3,071",-856,"2,757","4,431","1,833","2,571"
Net Cash Flow,"-2,573","2,387","1,646","-3,422",778,"-4,558","1,075","-2,019","1,927","3,517","1,770","3,388",672,-456,807,599,"-1,638",83,126,6,827,912,"-2,047",174,289,789,-740,"1,800","-1,230","1,329","-1,113","-2,135","1,728",387,"-2,467","2,504",95,175,"-1,904"
Free Cash Flow,"1,106","1,456","2,915","-1,881","1,503","1,040","1,253",558,-700,747,712,-123,"-1,343",679,356,80,487,660,-330,590,615,274,807,-410,800,159,431,276,324,298,252,351,44,10,139,280,653,917,151
