Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,37.15,16.38,12.75,11.71,18.66,45.41,14.42,11.7,10.02,29.41,6.42,2.16,7.54,12.64,13.08,14.32,10.49,14.11,13.02,11.04,9.11,1.96,10.05,8.71,6.86,7.56,6.78
Depreciation & Amortization,8.72,10.21,1.34,1.35,1.78,3.25,1.42,1.44,1.44,3.55,1.38,1.37,1.35,1.37,1.32,1.37,1.39,1.06,1.08,1.08,1.08,1.08,1.1,1.16,1.1,1.1,-
Share-Based Compensation,2.53,7.11,0.52,0.54,0.81,1.55,0.7,0.57,0.54,1.59,0.58,0.55,0.56,0.68,0.61,0.57,0.55,0.45,0.42,0.35,0.39,0.27,0.04,0.01,0.01,0.01,-
Other Operating Activities,0.62,35.64,4.27,0.76,-5.2,2.2,13.96,-5.14,3.9,-2.06,-4.81,10.54,0.95,-2.8,4.6,-1.67,-2.41,-1.47,-0.75,1.24,-2.88,5.27,-1.83,-3.04,2.86,-1.83,-6.78
Operating Cash Flow,49.02,69.34,18.87,14.35,16.06,52.4,30.5,8.58,15.9,32.48,3.57,14.63,10.39,11.89,19.61,14.58,10.02,14.15,13.77,13.7,7.7,8.58,9.36,6.83,10.83,6.83,-
Operating Cash Flow Growth,205.29%,32.33%,-38.13%,67.25%,0.98%,61.34%,755.12%,-41.35%,53.00%,173.22%,-81.81%,0.30%,3.76%,-15.98%,42.41%,6.41%,30.03%,64.97%,47.16%,100.61%,-28.87%,25.58%,-,-,-,-,-
Capital Expenditures,2.36,-0.63,-0.43,-0.19,-0.18,-0.48,-0.12,-0.28,-0.31,10.07,-11.85,-1.23,-0.14,-0.49,-0.61,-1.39,0,-0.38,-0.26,-0.3,-0.35,-0.29,2.33,-0.15,0.1,3.41,-
Acquisitions,0,370.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,200.67,141.27,-83.54,-180.89,-186.42,-942.24,66.49,146.49,-24.37,-639.7,-21.46,-266.48,-30.31,36.64,-29.76,-102.98,-96.05,15.37,-54.74,-59.55,-47.15,-118.12,-4.88,25.94,-77.94,-20.43,-
Other Investing Activities,-,-,-,-,-,-2.78,2.67,0.11,-,-1.97,1.97,-,-,0.04,0.06,5.44,-0.63,0.49,0.14,0.33,-1.31,0.66,0.01,-14.77,1.67,1.02,-
Investing Cash Flow,203.03,511.09,-83.96,-181.09,-186.6,-945.5,69.04,146.32,-24.68,-631.59,-31.35,-267.71,-30.45,36.19,-30.31,-98.93,-96.69,15.47,-54.86,-59.52,-48.81,-117.75,-2.54,11.02,-76.17,-16,-
Dividends Paid,-6.93,-5.8,-3.18,-3.2,-2.85,-0.86,-3.18,-3.19,-2.47,-0.71,-2.48,-2.48,-2.5,-2.53,-2.49,-2.49,-1.25,-1.25,-1.24,-1.24,-1.24,-1.1,-2.21,0,-1.1,-1.08,-
Share Issuance / Repurchase,0.26,-8.66,-12.39,-2.48,0.57,3.95,-0.83,0,-4.97,-10,-0.68,0.02,-5.34,0,-0,0.01,0.12,0.04,0,0.25,0,71.86,0,0.02,0,1.89,-
Debt Issued / Paid,0,24,0,-50,0,-65.57,0,0,0,78.33,-0.35,1.09,0.93,-70.72,30.4,89.21,-2.47,-4.01,-50.1,50.59,-0.66,-25.07,-1.05,-1.39,-0.99,-0.35,-
Other Financing Activities,-353.75,-396.08,-32.86,-64.61,114.7,829.55,114.85,32.03,82.88,602.51,-83.54,461.96,-60.19,107.84,5.42,-12.11,-15.29,76.03,128.81,-38.43,-3.27,41.1,37.84,18.34,-42.32,11.53,-
Financing Cash Flow,-360.42,-386.54,-48.43,-120.29,112.42,767.07,110.83,28.84,75.45,670.13,-87.05,460.59,-67.11,34.59,33.33,74.61,-18.88,70.81,77.47,11.17,-5.18,86.79,34.59,16.96,-44.4,11.99,-
Net Cash Flow,-108.37,193.89,-113.52,-287.03,-58.13,-126.04,210.38,183.74,66.66,71.01,-114.83,207.5,-87.17,82.67,22.62,-9.74,-105.56,100.43,36.38,-34.65,-46.28,-22.38,41.41,34.82,-109.75,2.81,-
Free Cash Flow,51.38,68.71,18.45,14.15,15.87,51.92,30.38,8.3,15.59,42.55,-8.28,13.4,10.25,11.4,19,13.19,10.02,13.76,13.51,13.41,7.35,8.28,11.68,6.68,10.93,10.24,-
Free Cash Flow Growth,223.69%,32.35%,-39.29%,70.53%,1.83%,22.03%,-,-38.04%,52.08%,273.21%,-,1.55%,2.34%,-17.18%,40.60%,-1.60%,36.30%,66.17%,15.68%,100.58%,-32.77%,-19.07%,-,-,-,-,-
Free Cash Flow Margin,42.94%,50.03%,40.59%,36.96%,27.66%,42.43%,72.85%,20.96%,43.55%,44.72%,-26.19%,53.16%,32.54%,30.28%,49.84%,32.33%,28.07%,35.07%,37.33%,39.79%,23.30%,27.37%,35.40%,21.74%,38.59%,34.67%,-
Free Cash Flow Per Share,0.97,1.31,0.75,0.57,0.65,2.11,1.24,0.34,0.63,1.71,-0.33,0.54,0.41,0.44,0.73,0.51,0.39,0.53,0.52,0.52,0.28,0.33,0.48,0.27,0.45,0.42,-
