Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,-0.97,-1.08,0.33,5.14,0.16,0.42,-6.25,-3.12,-3.08,-2.18,-1.98,-3.86,-5.33,1.09,-0.58,-2.06,-0.77,-0.79,-0.93,-8.75,-0.3,-0.43,-0.38,-
Depreciation & Amortization,0.46,0.57,0.55,-2.23,0.55,0.51,0.38,-2.76,1.08,1.31,0.96,1.48,0.08,0.05,0.04,0.01,-0.18,0.09,0.09,0.17,0.17,0.16,0.16,-
Share-Based Compensation,0,0,0,0,0.65,0,0,0,0,0.45,0,0.13,0,0,0,0.04,0,0,0,0,0,0,0,-
Other Operating Activities,0.25,0.52,-0.37,-5.61,-1.81,-3.3,2.23,3.73,1.51,-0.84,0.99,2.8,4.31,-3.45,-3.22,-1.79,0.07,0.04,-0.08,8.22,0.04,0.13,0.03,-
Operating Cash Flow,-0.26,-0,0.51,-2.7,-0.45,-2.37,-3.64,-2.15,-0.49,-1.26,-0.03,0.56,-0.94,-2.3,-3.76,-3.8,-0.88,-0.66,-0.92,-0.36,-0.1,-0.13,-0.19,-
Capital Expenditures,-0.13,0.42,0.03,0.24,-1.32,0.02,-2.18,-2.09,-0.18,-0.01,-0,-0.08,-0.03,-0.01,-0.38,-0,0.03,-0.02,-0.01,-0,0,0,-0,-
Acquisitions,0,0,0,-0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,0,-
Other Investing Activities,0,-0.03,-0,-0.17,-0.08,-0.09,0.11,-0.22,-0,-0,-0,0,0,-0.15,-0.32,-0.05,-0.41,-0.02,-0.02,-,-,-,-,-
Investing Cash Flow,-0.13,0.39,0.02,0.06,-1.4,-0.07,-2.07,-2.32,-0.17,-0.01,-0,-0.08,-0.03,-0.16,-0.7,-0.08,-0.38,-0.04,-0.03,-0,0,0,-0,-
Share Issuance / Repurchase,0,0,0,0,0,0,5.79,5.93,0.42,6.17,0,0,0,0,5.14,0,0,0,0,11.05,0,0,0,-
Debt Issued / Paid,-0.13,-0.14,0.17,1.41,-0.74,0.52,-0.09,-0.44,-0.51,-1.04,-0.28,-0.1,-1.28,0.13,-0.41,-0.46,-1.3,0.97,0.61,0.46,0.1,0.13,0.1,-
Other Financing Activities,-,-,-,0.17,3.47,-0.4,-0.38,0.17,-0.1,-0.05,-0.01,-0.71,0.88,-0.42,0.21,0,1.79,-0.4,-0.5,-0.11,-,-,-,-
Financing Cash Flow,-0.13,-0.14,0.17,1.58,2.74,0.12,5.32,5.66,-0.19,5.08,-0.29,-0.81,-0.41,-0.29,4.94,-0.46,0.49,0.57,0.1,11.4,0.1,0.13,0.1,-
Net Cash Flow,-0.43,0.11,0.67,-1.62,1.04,-2.27,-0.41,0.91,-0.85,3.87,-0.32,-0.34,-1.36,-2.9,0.42,-4.27,-0.77,-0.19,-0.89,11.06,0.01,0,-0.09,-
Free Cash Flow,-0.39,0.41,0.54,-2.46,-1.78,-2.35,-5.82,-4.24,-0.67,-1.28,-0.04,0.48,-0.97,-2.31,-4.14,-3.8,-0.85,-0.68,-0.93,-0.36,-0.1,-0.13,-0.19,-
Free Cash Flow Margin,-22.43%,18.47%,23.03%,-,-106.95%,-210.92%,-1536.25%,-,-40.95%,-91.89%,-3.31%,23.66%,-35.33%,-39.29%,-82.53%,-156.07%,-717.85%,-949.83%,-743.68%,-226.00%,-63.99%,-110.00%,-291.17%,-
Free Cash Flow Per Share,-0.05,0.06,0.09,-0.40,-0.30,-0.42,-1.10,-0.90,-0.15,-0.34,-0.01,0.17,-0.34,-0.82,-1.58,-1.47,-0.33,-0.26,-0.36,-0.16,-0.04,-0.06,-0.10,-
