Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,0.07,0.15,0.14,0.02,-0.14,0.07,1.43,0.26,0.15,-0.71,-0.4,0.26,0.16
Depreciation & Amortization,0.1,0.11,0.11,0.12,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.08
Share-Based Compensation,0.21,0.21,0.12,0.07,0.07,0.07,0,0,0,0,0,0,0
Other Operating Activities,-0.5,-0.08,-0.04,-0.03,-0.18,0.66,0.51,-0.21,0.05,-0.62,0.75,0.59,0.49
Operating Cash Flow,-0.12,0.4,0.33,0.17,-0.12,0.92,2.05,0.16,0.3,-1.24,0.44,0.93,0.73
Operating Cash Flow Growth,-,-57.00%,-84.14%,11.54%,-,-,371.03%,-83.24%,-58.63%,-,-,-,-
Capital Expenditures,0,-0.02,-0,-0.21,-0.02,-0.04,-0.22,-1.2,-0.04,-0.11,-0.06,-0.24,-0.13
Change in Investments,2.92,-1.63,1.24,-2.07,-1.46,-34.4,-2.55,-7.85,-0.51,10.18,-4.56,-6.13,1.14
Other Investing Activities,-,-,0.01,-4.5,-5.47,0.06,0.16,-,-,-0.91,0.38,0.05,0.07
Investing Cash Flow,2.92,-1.65,1.25,-6.79,-6.95,-34.38,-2.62,-9.05,-0.55,9.17,-4.25,-6.32,1.09
Share Issuance / Repurchase,-3.37,-2.34,0,0,0,46.6,0,0,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,-16.18,0,0,0
Other Financing Activities,14.62,-19.13,5.49,-4.35,6.29,-72.67,71.88,0.91,12.07,0.14,4.11,12.51,6.21
Financing Cash Flow,11.25,-21.47,5.49,-4.35,6.29,-26.06,71.88,0.91,12.07,-16.03,4.11,12.51,6.21
Net Cash Flow,14.06,-22.73,7.06,-10.96,-0.79,-59.52,71.32,-7.98,11.83,-8.11,0.29,7.12,8.03
Free Cash Flow,-0.12,0.38,0.32,-0.04,-0.14,0.89,1.83,-1.04,0.26,-1.35,0.37,0.69,0.61
Free Cash Flow Growth,-,-57.22%,-82.46%,-,-,-,391.94%,-,-56.36%,-,-,-,-
Free Cash Flow Margin,-5.13%,17.22%,14.07%,-1.60%,-7.03%,38.44%,49.61%,-45.39%,13.84%,-78.11%,28.03%,37.05%,32.79%
Free Cash Flow Per Share,-0.02,0.07,0.06,-0.01,-0.03,0.17,0.35,-0.20,0.05,-,-,-,-
