Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Net Income,33.9,25.67,18.6,21.87,22.2,9.2,16.1,8.23,10.2,6.55,9.5,15.41,-0.9,4.37,4.3,14.26,0.64,42.72,0.5,0.46,0.01,7.05,-0,-0,-0.01
Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-,-,-,-,1.96,0,1.08,0,3.56,0,0,0,1.49,0,0,0
Share-Based Compensation,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1.87,0,0,0,0,0,0,0
Other Operating Activities,-33.9,-25.67,-18.6,-21.87,-22.2,-9.2,-16.1,-8.23,-10.2,-6.55,-9.5,-15.41,0.9,16.27,-4.66,-49.62,-0.96,82.13,-0.6,-0.8,-0.07,4.45,0,-0.01,0.01
Operating Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,22.59,-0.36,-34.29,-0.32,130.29,-0.1,-0.34,-0.06,12.98,-0,-0.01,0
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-82.66%,-,-,-,904.03%,-,-,-,-,-,-,-
Capital Expenditures,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.42,0,-0.14,0,-1.49,0,0,0,-0.4,0,0,0
Acquisitions,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-0.15,0,0,0,0,0,0,0
Change in Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.77,0.29,-0.16,0.16,174.23,0,0,-174.23,0,0,0,0
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.61,-,-0.54,-,-0.86,-,-,-,-1.18,-,-,-
Investing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.8,0.29,-0.84,0.16,171.73,0,0,-174.23,-1.57,0,0,0
Dividends Paid,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.82,0,-5.46,0,-16.11,0,0,0,-11.47,0,0,0
Share Issuance / Repurchase,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.05,0,-5.05,0,-169.5,0,0,169.5,0,0,0,0
Debt Issued / Paid,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.76,0.15,-0.23,0,-2.3,0,-0.25,1.77,-0.01,0,0.01,0
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.06,-0.03,0.03,-4.14,-,-0.12,4.26,0.01,0.02,-0.02,-
Financing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-16.63,0.09,-10.77,0.03,-192.05,0,-0.37,175.53,-11.48,0.02,-0.01,0
Net Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,4.16,0.01,-45.9,-0.13,109.97,-0.1,-0.71,1.25,-0.08,-0,-0.01,0
Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,22.17,-0.36,-34.43,-0.32,128.8,-0.1,-0.34,-0.06,12.58,-0,-0.01,0
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-82.79%,-,-,-,924.04%,-,-,-,-,-,-,-
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,38.13%,-0.67%,-33.27%,-,37.31%,-,-,-,8.57%,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,3.90,-0.06,-6.08,-0.06,25.23,-0.02,-0.06,-0.01,3.35,-,-0.00,-
