Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income,18.72,21.89,20.92,22.96,20.4,23.33,20.98,26.69,21.05,20.65,15.09,15.1,6.77,13.55,14.22,12.03,14.92,14.87,10.83,-14.74,11.78,3.68,1.51,9.27,10.29,9.99
Depreciation & Amortization,3.5,3.48,3.49,3.36,3.02,2.93,2.89,2.94,2.88,1.91,3.13,2.51,2.81,1.71,1.17,1.08,1.04,1,0.91,0.94,0.9,0.89,0.76,1.03,0.82,0.86
Share-Based Compensation,2.99,2.88,2.92,3.37,3.12,3.24,3.23,3.39,3.07,2.99,2.86,2.99,3.11,3.01,2.51,0.87,0.87,0.89,0.96,0.74,0,0,0,0,0,0
Other Operating Activities,-28.82,1.7,10.13,12.21,6.31,1.72,-31.89,-133.08,145.34,15.36,-16.12,-8.98,-21.14,-26.22,12.66,-40.59,9.01,-6.81,4.15,32.75,-2.58,-2.24,6.29,3.04,-6.85,-0.98
Operating Cash Flow,-3.61,29.95,37.46,41.9,32.85,31.22,-4.8,-100.06,172.34,40.91,4.96,11.63,-8.45,-7.96,30.56,-26.61,25.83,9.96,16.85,19.69,10.1,2.33,8.56,13.34,4.26,9.88
Operating Cash Flow Growth,-,-4.09%,-,-,-80.94%,-23.69%,-,-,-,-,-83.77%,-,-,-,81.37%,-,155.86%,328.12%,96.76%,47.61%,136.91%,-76.45%,-,-,-,-
Capital Expenditures,-1.73,-1.58,-2.48,-0.51,-0.87,-0.08,-0.63,-0.42,-2.48,-0.87,-0.9,-1.15,-1.7,-4.31,-3.65,-4.09,-7.3,-4.47,-2.96,-3.85,-1.98,-2.65,-1.58,-2.28,-1.73,-0.92
Acquisitions,74.74,140.77,0,140.77,0,40.83,0,0,0,155.25,0,155.25,0,73.72,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,354.32,97.05,-303.31,-61.51,-66.82,325.29,-205.37,40.63,-341.01,474.46,111.56,-204.89,-34.45,612.07,-66.79,-104.51,-98.53,-112.93,-280.65,-274.08,-234.49,-369.49,-6.21,-116.5,-100.17,-99.68
Other Investing Activities,-490.91,-557.02,0,0.55,0.22,-300.38,-,0,0,-394.92,-,-,-,-918.64,1.02,-,-,0.52,-29.37,1.1,-,-,-3.76,0.11,2.05,0.34
Investing Cash Flow,-63.57,-320.78,-305.79,79.31,-67.46,65.67,-206,40.22,-343.49,233.92,110.66,-50.79,-36.15,-237.16,-69.42,-108.6,-105.83,-116.87,-312.98,-276.83,-236.47,-372.14,-11.55,-118.67,-99.85,-100.26
Share Issuance / Repurchase,-47.45,-22.28,-23.24,-31.5,-21.98,-28.75,-20.86,-25.71,-32.84,-48.05,-6.93,-13,-40.36,-12.13,-38.2,-3.87,0,0,0,447,0,0,0,0,0,0
Debt Issued / Paid,588.9,461.13,252.64,-11.9,56.85,-373,-0.17,30.12,-76.96,-179.98,-117.22,-285.73,-28.82,278.87,-34.03,66.3,-89.82,1.2,257.82,343.36,-336.68,194.45,-70.16,68.41,14.13,36.57
Other Financing Activities,-334.06,-70.84,31.83,-64.66,24.77,77.34,143.08,82.95,217.71,110.26,48.54,475.45,126.56,-4.03,114.68,62.02,192.76,93.08,25.97,"-1,100.42","1,131.94",139.89,120.2,44.87,86.86,48.68
Financing Cash Flow,207.39,368.01,261.23,-108.05,59.64,-324.41,122.05,87.36,107.91,-117.77,-75.61,176.72,57.38,262.71,42.44,124.45,102.94,94.28,283.78,-310.06,795.26,334.33,50.04,113.28,100.99,85.25
Net Cash Flow,140.21,77.18,-7.1,13.16,25.03,-227.53,-88.74,27.52,-63.24,157.06,40.02,137.56,12.78,17.6,3.58,-10.76,22.94,-12.63,-12.35,-567.2,568.88,-35.48,47.06,7.95,5.4,-5.13
Free Cash Flow,-5.33,28.37,34.98,41.39,31.99,31.14,-5.43,-100.48,169.85,40.04,4.06,10.48,-10.16,-12.26,26.9,-30.7,18.54,5.49,13.89,15.84,8.11,-0.32,6.98,11.06,2.53,8.96
Free Cash Flow Growth,-,-8.90%,-,-,-81.17%,-22.22%,-,-,-,-,-84.91%,-,-,-,93.76%,-,128.47%,-,98.84%,43.22%,220.55%,-,-,-,-,-
Free Cash Flow Margin,-7.76%,37.85%,46.14%,56.98%,46.83%,41.34%,-8.26%,-135.36%,254.98%,58.87%,6.58%,18.33%,-21.37%,-22.87%,53.09%,-64.62%,38.63%,11.21%,31.29%,35.94%,19.50%,-0.84%,22.22%,27.63%,6.30%,23.02%
Free Cash Flow Per Share,-0.05,0.27,0.33,0.39,0.31,0.30,-0.05,-0.96,1.60,0.37,0.04,0.09,-0.09,-0.11,0.24,-0.28,0.17,0.05,0.13,0.14,0.08,-0.00,0.07,-,-,-
