Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,0.8,0.81,2.11,2.03,2.05,2.99,2.69,2.57,3.32,2.34,1.15,1.35,1.08,1.74,2.09,1.22,0.91,1.2,1.96,0.58,0.62,-1.23,2.62
Depreciation & Amortization,0.38,0.41,0.42,0.42,0.41,0.48,0.42,0.42,0.33,0.38,0.36,0.35,0.34,0.33,0.33,0.34,0.33,0.29,0.3,0.3,0.3,0.3,0.28
Share-Based Compensation,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.1,0.04,0.06,0.24,0,0,0,0,0,0,0,0,0
Other Operating Activities,1.73,-2.61,3.02,0.07,4.83,-1.84,-0.01,-3.32,-1.24,5.67,2.15,-2.99,2.29,0.85,3.04,0.63,0.05,0.31,-0.77,-2.43,5.96,1.38,-2.85
Operating Cash Flow,3.11,-1.18,5.75,2.72,7.5,1.84,3.31,-0.12,2.62,8.59,3.76,-1.26,3.76,3.17,5.46,2.19,1.29,1.8,1.5,-1.56,6.87,0.45,0.06
Operating Cash Flow Growth,-58.59%,-,73.86%,-,185.93%,-78.58%,-11.92%,-,-30.22%,170.91%,-31.22%,-,190.94%,76.55%,263.41%,-,-81.19%,303.37%,2491.38%,-,-,-,-
Capital Expenditures,-0.04,-0.29,-0.18,-0.08,-0.58,-0.47,-0.39,-0.63,-0.29,-0.32,-0.6,-0.46,-0.49,-0.09,-2.05,-0.22,-0.24,-0.71,-0.09,-0.26,-0.08,-0.29,0.4
Acquisitions,0,0,0,0,0,0,0,0,32.77,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
Change in Investments,-9.57,-39.02,-22.05,-42.61,-18.78,-61.11,-10.84,-16.61,-68.49,20.38,-8.7,-66.63,-17.04,-35.58,-26.8,-30.05,-37.01,-22.11,-30.83,-35.04,-14.9,-14.48,-14.76
Other Investing Activities,-,-,-0.02,-,-,-0,-0.02,-10,0.34,-0.19,-0.04,-0.02,-0.02,-0.01,-0.04,-,-,0,-0.04,-,-,-,-0.04
Investing Cash Flow,-9.6,-39.31,-22.25,-42.69,-19.36,-61.58,-11.25,-27.24,-35.66,19.87,-9.33,-67.11,-17.55,-35.69,-28.89,-30.27,-37.24,-22.82,-30.96,-35.3,-14.98,-14.77,-10.95
Share Issuance / Repurchase,0,0,-0.11,0,0,-0.13,0.04,0,0,0,0,0,0,0,0,0,-31.27,79.14,0,0,0,0,0
Debt Issued / Paid,48.73,20.18,13.74,7.88,-2.11,-2.1,-2.09,-14.23,-14.21,-4.18,-16.24,-8.55,13.34,18.37,-16.61,-12.3,40.25,-17.02,10.62,25,3.1,4.7,10.2
Other Financing Activities,-37.47,23.58,-8.94,4.65,9.25,19.48,52.65,23.68,43.6,17.63,-1.18,129.69,10.27,7.77,46.42,36.91,-8.18,-3.1,19.03,12.8,6.03,7.84,-10.74
Financing Cash Flow,11.26,43.76,4.69,12.53,7.14,17.25,50.59,9.46,29.39,13.45,-17.42,121.14,23.61,26.14,29.82,24.61,0.8,59.02,29.65,37.8,9.13,12.54,-0.54
Net Cash Flow,4.76,3.27,-11.81,-27.44,-4.73,-42.5,42.66,-17.9,-3.65,41.9,-22.99,52.78,9.82,-6.38,6.39,-3.47,-35.15,37.99,0.19,0.94,1.01,-1.78,-11.44
Free Cash Flow,3.07,-1.47,5.57,2.64,6.92,1.37,2.92,-0.75,2.34,8.27,3.16,-1.72,3.27,3.08,3.41,1.97,1.06,1.08,1.41,-1.82,6.79,0.16,0.46
Free Cash Flow Growth,-55.64%,-,90.69%,-,196.02%,-83.43%,-7.62%,-,-28.41%,168.38%,-7.35%,-,208.99%,184.40%,141.71%,-,-84.43%,594.23%,206.96%,-,-,-,-
Free Cash Flow Margin,30.02%,-13.67%,46.65%,21.96%,59.64%,10.05%,23.09%,-6.19%,19.34%,71.79%,35.63%,-20.25%,37.62%,33.06%,36.03%,23.00%,13.12%,12.67%,16.22%,-25.55%,95.42%,2.17%,4.90%
Free Cash Flow Per Share,0.28,-0.14,0.51,0.24,0.64,0.13,0.27,-0.07,0.22,0.77,0.29,-0.16,0.30,0.29,0.32,0.18,0.10,0.10,0.13,-0.16,-,-,-
