Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,1.79,1.34,3.42,5.03,5.83,-0.67
Other Operating Activities,-1.99,-1.38,-3.67,-5.36,-5.9,-0.26
Operating Cash Flow,-0.21,-0.03,-0.25,-0.33,-0.07,-0.92
Change in Investments,-1.66,0,0,0,0,0
Investing Cash Flow,-1.66,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,11.68,225.4
Debt Issued / Paid,2.3,0,0,0,0,0
Other Financing Activities,-,-,-,-,-11.68,11.21
Financing Cash Flow,2.3,0,0,0,0,236.61
Net Cash Flow,0.43,0.26,-0.25,-0.33,-0.07,1.09
Free Cash Flow,-0.21,-0.03,-0.25,-0.33,-0.07,-0.92
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.00,-0.03
