Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Net Income,8.01,5.29,5.29,2.05,9.88
Other Operating Activities,-8.3,-5.51,-5.86,-2.56,-10.46
Operating Cash Flow,-0.3,-0.21,-0.57,-0.51,-0.58
Change in Investments,0.25,0.25,0,0,-750
Investing Cash Flow,0.25,0.25,0,0,-750
Share Issuance / Repurchase,0,0,0,0,750
Debt Issued / Paid,0,0,0,0,-0.31
Other Financing Activities,-,-,-,-0.01,2.06
Financing Cash Flow,0,0,0,-0.01,751.74
Net Cash Flow,-0.05,0.04,-0.57,-0.51,1.17
Free Cash Flow,-0.3,-0.21,-0.57,-0.51,-0.58
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.01
