Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Net Income,10.97,17.58,16.65,15.48,14.62,15.71,15.36,13.38,12.46,11.15,8.52,6.51,6.75,10.68,8.01,10.14,10.38,9.49,8.33,9.44,8.85,4.89,6.61,8.54,5.49,5.39,5.7,5.16,2.84
Depreciation & Amortization,2.39,2.27,2.57,3.19,2.99,3.15,3.38,3.49,3.52,2.15,1.91,1.8,1.96,1.68,1.78,1.65,1.67,1.81,1.26,1.78,0.3,1.4,0.31,0.33,0.34,0.26,0.38,0.36,0.36
Share-Based Compensation,0.32,0.17,0.27,0.15,0.26,0.22,0.27,0.32,0.29,0.19,0.17,0.17,0.16,0.15,0.15,0.17,0.23,0.24,0.18,0.13,0.13,0.19,0.2,0.2,0.2,0.43,0.22,0.03,0.22
Other Operating Activities,3.14,2.51,6.3,-6.47,15.29,13.35,18.42,5.9,92.98,30.9,-0.57,-16.58,69.33,196.98,1.84,131.48,99.51,47.78,-90.21,-53.36,-30.78,41.44,-15.86,-7,-18.47,26.4,0.81,33.13,-25.45
Operating Cash Flow,16.82,22.52,25.79,12.34,33.16,32.41,37.43,23.08,109.25,44.38,10.03,-8.1,78.2,209.49,11.77,143.43,111.78,59.32,-80.44,-42.02,-21.5,47.91,-8.75,2.06,-12.44,32.48,7.1,38.68,-22.04
Operating Cash Flow Growth,-49.28%,-30.51%,-31.10%,-46.54%,-69.65%,-26.97%,273.22%,-,39.70%,-78.81%,-14.78%,-,-30.04%,253.17%,-,-,-,23.80%,-,-,-,47.52%,-,-94.67%,-,-,-,-,-
Capital Expenditures,-0.52,-0.3,-0.26,0.27,-0.73,-0.51,-0.58,-0.42,-0.48,-3.33,-0.76,0.01,-0.14,-0.4,-0.12,-0.33,-0.48,-0.38,-1,-0.83,-0.28,-0.46,-0.03,-0.08,-0.12,0.02,-0.04,-0.07,-0.11
Acquisitions,0,0,0,0,71.35,0,0,0,0,0,0,0,6.63,0,0,0,0,25.07,0,0,0,0,0,0,0,0,0,0,-35.05
Change in Investments,-39.6,-107.23,-96.17,14.32,-141.43,-128.08,-160.29,-60.47,-133.55,-4.1,-196.61,-200.47,-47.25,-170.76,-43.14,-1.57,-3.61,-96.03,-130.84,-54.89,-63.22,-102.28,-89.38,-26.87,-30.32,-12.43,60.22,-22.73,17.41
Other Investing Activities,-,-,-,-,-,-,-,-19.8,-,-,-,-,-,0.23,0.82,-,-,-,-,-,-,-5.18,0.26,-,-10,-,-,-,-
Investing Cash Flow,-40.13,-107.53,-96.43,14.59,-70.8,-128.6,-160.87,-80.69,-134.03,-7.43,-197.37,-200.46,-40.75,-170.92,-42.44,-1.9,-4.09,-71.34,-131.84,-55.71,-63.5,-107.91,-89.15,-26.94,-40.44,-12.41,60.18,-22.81,-17.76
Dividends Paid,-3.04,-2.66,-2.66,-2.69,-2.72,-2.54,-2.52,-2.54,-2.35,-1.79,-1.18,-1.18,-2.41,-2,-2.02,-2.01,-2.01,-1.52,-1.49,-1.47,-1.28,-1.27,0,-0,-3.85,0,0,-2.55,0
Share Issuance / Repurchase,0.16,-0.98,0.6,-8.63,-5.34,-1.6,1.29,-4.82,-1.94,-2.6,0,0,-4.54,0.12,-1.46,0.06,0.9,1.56,1.98,2.55,3.54,1.27,61.23,0,0,-0.18,0,0.78,0
Debt Issued / Paid,0,-20,-10,100,0,0,0,0,68.11,-40,40,0,150,-35,-5,-235,-44.5,39.02,170,40,-25,25,0,-10,10,-10,-0.03,19.15,40.15
Other Financing Activities,173.34,18.01,-67.86,-140.64,-298.9,417.77,-102.06,248.68,186.23,23.45,175.31,0.62,-1.29,-3,16.59,50.98,40.3,-50.9,140.56,50.9,36.22,18.99,39.85,30.2,95.57,-46.94,0.87,-32.53,-27.31
Financing Cash Flow,170.46,-5.63,-79.92,-51.96,-306.96,413.63,-103.29,241.33,250.06,-20.93,214.13,-0.57,141.75,-39.88,8.11,-185.97,-5.3,-11.84,311.05,91.98,13.49,44,101.08,20.2,101.72,-57.12,0.84,-15.15,12.84
Net Cash Flow,147.16,-90.63,-150.56,-25.03,-344.61,317.45,-226.73,183.72,225.28,16.02,26.79,-209.12,179.2,-1.31,-22.57,-44.44,102.39,-23.87,98.77,-5.75,-71.51,-16,3.19,-4.68,48.83,-37.06,68.12,0.72,-26.96
Free Cash Flow,16.29,22.23,25.54,12.61,32.43,31.9,36.85,22.66,108.77,41.06,9.27,-8.09,78.07,209.09,11.65,143.1,111.3,58.93,-81.45,-42.84,-21.78,47.46,-8.78,1.98,-12.57,32.5,7.06,38.61,-22.15
Free Cash Flow Growth,-49.76%,-30.32%,-30.71%,-44.38%,-70.18%,-22.31%,297.56%,-,39.33%,-80.36%,-20.41%,-,-29.86%,254.79%,-,-,-,24.18%,-,-,-,46.03%,-,-94.86%,-,-,-,-,-
Free Cash Flow Margin,47.30%,56.33%,64.24%,31.84%,87.49%,89.24%,102.65%,67.45%,321.05%,135.24%,35.49%,-33.36%,297.24%,739.18%,45.70%,485.80%,376.47%,201.95%,-428.08%,-215.08%,-116.37%,246.50%,-49.24%,9.27%,-78.81%,219.62%,42.00%,234.20%,-178.83%
Free Cash Flow Per Share,0.86,1.16,1.34,0.66,1.67,1.64,1.90,1.16,5.57,2.08,0.47,-0.41,3.91,10.45,0.58,7.13,5.54,3.44,-4.92,-2.62,-1.34,3.37,-0.56,0.13,-0.82,2.54,-,-,-
