Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Net Income,29.29,43.52,11.05,17.23,33.68,22.28,23.34,42.43,31.75,39.5,51.46,21.77,-104.45,21.35,18.2,19.22,39.31,-9.87,18.99,6.17,11.36,6.92,7.2,3.57,1.61,1.47,-0.86,0,0
Other Operating Activities,-72.24,19.53,-110.75,-195.67,-135.43,46.82,-33.11,-11.02,143.05,-3.68,21.35,10.42,53.05,-4.77,-120.31,20.62,-236.4,-316.95,-235.42,-161.28,-87.24,-345.87,-76.18,-225.83,-68.79,-102.23,0.86,-,-
Operating Cash Flow,-42.96,63.05,-99.69,-178.44,-101.75,69.1,-9.77,31.41,174.81,35.81,72.81,32.19,-51.39,16.58,-102.11,39.84,-197.08,-326.82,-216.43,-155.11,-75.88,-338.96,-68.98,-222.26,-67.18,-100.77,-,-,-
Operating Cash Flow Growth,-,-8.75%,-,-,-,92.96%,-,-2.42%,-,115.97%,-,-19.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividends Paid,-23.24,-21.95,-21.95,-21.95,-21.95,-21.95,-21.95,-21.95,-21.95,-21.95,-21.95,-21.18,-21.18,-21.18,-21.18,-17.79,-21.11,-14.73,-11.08,-8.75,-6.41,-4.34,-2.27,-1.06,-0.08,0,-,-,-
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,131.92,0,0,0,0,0,147.32,125.97,125.55,125.43,-0,165.22,0,227.51,109.82,-,-,-
Debt Issued / Paid,22,24.74,110.84,153.75,36.81,65.62,37.03,-36.55,-116.93,-56.1,-29.24,-112.38,79.09,-83.8,152.73,12.58,279.81,37.22,151.14,57.12,-61.6,445.54,-76.39,75.83,-59.1,58,-,-,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-0.5,-0.77,-2.28,-,-1.73,-,-,-0.09,-0.09,-,-,-,-,-,-,-,-0.32,-,-,-
Financing Cash Flow,-1.24,2.79,88.88,131.8,14.86,43.67,15.08,-58.5,-138.88,-78.55,-51.96,-3.92,57.91,-106.71,131.56,-5.21,258.61,169.73,266.03,173.91,57.41,441.2,86.55,74.77,168.33,167.5,-,-,-
Net Cash Flow,-44.2,65.84,-10.81,-46.64,-86.89,112.77,5.32,-27.09,35.92,-42.74,20.85,28.27,6.52,-90.13,29.45,34.63,61.53,-157.1,49.61,18.8,-18.47,102.24,17.58,-147.49,101.15,66.73,-,-,-
Free Cash Flow,-42.96,63.05,-99.69,-178.44,-101.75,69.1,-9.77,31.41,174.81,35.81,72.81,32.19,-51.39,16.58,-102.11,39.84,-197.08,-326.82,-216.43,-155.11,-75.88,-338.96,-68.98,-222.26,-67.18,-100.77,-,-,-
Free Cash Flow Growth,-,-8.75%,-,-,-,92.96%,-,-2.42%,-,115.97%,-,-19.20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-57.48%,108.05%,-158.71%,-340.76%,-221.15%,134.10%,-19.71%,67.57%,350.80%,74.18%,155.51%,67.25%,-99.80%,30.28%,-193.80%,78.74%,-494.07%,-968.45%,-811.72%,-723.99%,-434.63%,-3384.05%,-882.37%,-4907.31%,-2995.92%,-11601.61%,-,-,-
Free Cash Flow Per Share,-0.67,0.98,-1.54,-2.76,-1.58,1.07,-0.15,0.49,2.71,0.55,1.13,0.60,-0.99,0.32,-1.98,0.77,-3.83,-8.47,-5.19,-4.38,-2.60,-17.34,-2.77,-12.91,-6.17,-83.90,-,-,-
