Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.29,0.54,3.01,3.22,-0.49,3.01,0.22
Other Operating Activities,-2.56,-0.93,-3.36,-3.6,0.24,-3.86,-0.22
Operating Cash Flow,-0.28,-0.39,-0.35,-0.38,-0.26,-0.85,0
Share Issuance / Repurchase,0,0,0,0,0.03,286.67,0
Debt Issued / Paid,0,0,0,0,0.18,-0.68,-0
Other Financing Activities,-,-,-,-,-0.19,-0.78,-
Financing Cash Flow,0,0,0,0,0.01,285.22,-0
Net Cash Flow,-0.28,-0.39,-0.35,-0.38,-0.24,1.87,-0
Free Cash Flow,-0.28,-0.39,-0.35,-0.38,-0.26,-0.85,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.03,-
