Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,3.72,0.92,0.91,8.26,11.77,-0.04,-0.05
Other Operating Activities,-4.26,-1.25,-1.13,-8.72,-12.78,0.05,-0.07
Operating Cash Flow,-0.55,-0.33,-0.22,-0.46,-1.02,0.01,-0.12
Change in Investments,0.37,0.2,0,0,0,0,0
Investing Cash Flow,0.37,0.2,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,225.4,0,0
Debt Issued / Paid,0.18,0,0,-0,-0.27,0.16,0.1
Other Financing Activities,-,-,-,-0.01,11.42,-0.13,-
Financing Cash Flow,0.18,0,0,-0.01,236.55,0.03,0.1
Net Cash Flow,-0,-0.13,-0.16,-0.47,0.93,0.04,-0.02
Free Cash Flow,-0.55,-0.33,-0.22,-0.46,-1.02,0.01,-0.12
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.02,-0.10,0.00,-0.02
