Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,6.3,8.2,8.05,7.88,7.67,7.55,6.76,6.08,5.07
Depreciation & Amortization,0.45,0.45,0.48,0.49,0.5,0.52,0.57,0.62,0.52
Share-Based Compensation,0.2,0.17,0.13,0.13,0.14,0.16,0.12,0.13,0.15
Other Operating Activities,-0.94,-0.84,-0.08,-1.53,1.31,1.48,1.13,-1.45,2.95
Operating Cash Flow,6.01,7.99,8.58,6.97,9.62,9.7,8.58,5.38,8.69
Operating Cash Flow Growth,-37.50%,-17.63%,0%,29.48%,10.64%,-,-,-,-
Capital Expenditures,-0.35,-0.01,-0.02,-0.06,-0.07,-0.03,-0.02,-0.2,-0.07
Change in Investments,40.39,-51.4,-49.76,-133.5,-36.43,-69.29,-78.07,-48.24,-107.1
Other Investing Activities,-,0.37,-,-,-,-,0.02,-,-
Investing Cash Flow,40.04,-51.04,-49.78,-133.55,-36.49,-69.32,-78.06,-48.44,-107.17
Dividends Paid,0,0,0,-2.8,0,0,0,0,0
Share Issuance / Repurchase,0.31,-0,0.49,0.67,1.89,0.34,0.04,0.03,0.15
Debt Issued / Paid,-25.5,25.5,-25.02,6.6,0,0,0,-4,0
Other Financing Activities,20.9,4.4,19.6,60.64,101.55,44.01,22.52,53.64,121.27
Financing Cash Flow,-4.29,29.9,-4.93,65.11,103.44,44.34,22.56,49.67,121.42
Net Cash Flow,41.76,-13.16,-46.13,-61.47,76.56,-15.28,-46.93,6.61,22.94
Free Cash Flow,5.66,7.98,8.56,6.92,9.55,9.67,8.56,5.18,8.62
Free Cash Flow Growth,-40.73%,-17.51%,-0.05%,33.39%,10.77%,-,-,-,-
Free Cash Flow Margin,35.81%,44.20%,47.16%,39.70%,52.11%,56.37%,52.94%,30.82%,59.95%
Free Cash Flow Per Share,0.40,0.57,0.61,0.49,0.70,0.71,-,-,-
