Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-0.13,6.91,-0.97,1.79,1.01,2.36,-1.54,-4.85,-2.5,-0.02
Other Operating Activities,3.23,-11.28,4.64,-1.87,-1.39,-3.39,1.41,2.84,2.42,-
Operating Cash Flow,3.11,-4.37,3.68,-0.08,-0.38,-1.03,-0.13,-2.01,-0.08,-0.02
Change in Investments,263.12,0,0.44,-0.42,-0.02,0,0,0,-278,0
Investing Cash Flow,263.12,0,0.44,-0.42,-0.02,0,0,0,-278,0
Share Issuance / Repurchase,-263.12,0,0,0,0,0,0,0,273.14,0
Debt Issued / Paid,-2.4,0,0.5,0.5,0.4,0.95,0,0.25,0.08,0.03
Other Financing Activities,-,-,-,-,-,-,-,-,6.86,-0.01
Financing Cash Flow,-265.52,0,0.5,0.5,0.4,0.95,0,0.25,280.08,0.02
Net Cash Flow,0.71,-4.37,4.62,-0,-0,-0.08,-0.13,-1.76,2,0
Free Cash Flow,3.11,-4.37,3.68,-0.08,-0.38,-1.03,-0.13,-2.01,-0.08,-0.02
Free Cash Flow Per Share,0.13,-0.13,0.11,-0.00,-0.01,-0.03,-0.00,-0.06,-0.01,-0.00
