Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
Net Income,-1.41,-1.4,-1.03,-7.72,-5.74,-0.58,-3.86,-5.06,-11.62,-0.76,-1.01,-0.42,-0.37,-0.73,-0.35,-0.31,-0.35,-0.23,-0.22,-0.22,-0.16,0.1,-10.96,0.59,-35.2,-17.32,3.24,-28.14,-2.04,-1.63,-3.82,-1.25,-3.35,-8.15,-2.59,-2.57,-1.45,-,-,-
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.07,0.05,0.02,0,0,0,-,-,-
Share-Based Compensation,0.53,0.39,0.45,0.49,1.29,1.6,4.67,1.69,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,3.72,1.49,1.37,7.31,2.25,2.22,1.34,-,-,-
Other Operating Activities,-0.25,0.36,-0.2,8.94,3.4,-1.97,-1.44,2.41,-3.48,-0.55,0.46,-0.42,0.09,0.36,-0.38,0.1,0.05,0.01,0.19,0.08,0.03,-0.63,10.95,-1.46,35.1,17.16,-3.33,27.83,1.59,1.24,-0.05,-0.66,1.83,0.9,-0.01,-0.2,-0.15,-,-,-
Operating Cash Flow,-1.13,-0.65,-0.78,1.71,-1.06,-0.96,-0.61,-0.75,-2.54,-1.31,-0.55,-0.84,-0.28,-0.37,-0.73,-0.2,-0.2,-0.21,-0.03,-0.13,-0.14,-0.53,-0.01,-0.86,-0.09,-0.15,-0.09,-0.23,-0.35,-0.28,-0.06,-0.35,-0.1,0.09,-0.35,-0.54,-0.26,-,-,-
Capital Expenditures,0,0,-0,0,-0,-0.01,-0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,-0,0,0.01,0,0.04,-0.01,-0.02,-0.15,-0.14,-0.23,-0.15,-0.11,-0.09,0,-,-,-
Change in Investments,-0.09,-0.13,-0.01,-0.62,-8.21,0,-0.97,-0.5,-7.99,0,0,0,0,0,0,0,0,0,0,-0.17,0,0,0,0,0,0,0,0,0,-0.75,0,-1.5,-0.1,-0.05,-0.15,-0.05,-0.15,-,-,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0.02,0.01,-,0.3,-0.28,0,-,-0.06,0,-0,-0,-0.01,-,-,-
Investing Cash Flow,-0.09,-0.13,-0.01,-0.62,-8.21,-0.01,-0.97,-0.5,-7.99,0,0,0,0,0,0,0,0,0,0,-0.18,0,0,0,-0,0,0.04,0.01,0.04,0.29,-1.05,-0.15,-1.64,-0.39,-0.2,-0.26,-0.14,-0.16,-,-,-
Dividends Paid,0,0,0,-0.23,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
Share Issuance / Repurchase,0.51,0.03,0.49,0.09,10.51,2.61,0.42,0.8,11.28,0.47,0.83,0.14,0.41,0.02,0.46,0.69,0.23,0.06,0,0,0,0,0,0,0,-0,0,0.09,0,0,0,2.31,0.43,-0,0,0,1.81,-,-,-
Debt Issued / Paid,0,0,0,0,0,-0.91,-1.09,0,1,1,0,0.5,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0.21,0.01,0.1,0,1.36,0,-0.02,0.06,0,0,0,0,-,-,-
Other Financing Activities,-,-,-,-,-,-,-,-,1.1,-,-,-,-,-,-,-,-,-,-,-,-,0.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,-,-
Financing Cash Flow,0.51,0.03,0.49,-0.14,10.11,1.71,-0.67,0.8,13.38,1.47,0.83,0.64,0.41,0.22,0.46,0.69,0.23,0.26,0,0,0,0.83,0,0,0,0.21,0.01,0.19,0,1.36,0,2.29,0.49,0,0,0,1.82,-,-,-
Net Cash Flow,-0.7,-0.74,-0.3,0.95,0.84,0.74,-2.26,-0.45,2.84,0.16,0.28,-0.19,0.14,-0.15,-0.26,0.48,0.02,0.05,-0.03,-0.13,-0.14,0.3,-0.01,0.01,-0.09,0.1,-0.07,0,-0.06,0.03,-0.21,0.3,-0,-0.11,-0.61,-0.69,1.4,-,-,-
Free Cash Flow,-1.13,-0.65,-0.78,1.71,-1.06,-0.96,-0.61,-0.75,-2.54,-1.31,-0.55,-0.84,-0.28,-0.37,-0.73,-0.2,-0.2,-0.21,-0.03,-0.13,-0.14,-0.53,-0.01,-0.86,-0.09,-0.14,-0.09,-0.19,-0.36,-0.3,-0.22,-0.49,-0.33,-0.06,-0.46,-0.63,-0.26,-,-,-
Free Cash Flow Margin,-361.48%,-238.96%,-227.61%,331.75%,-187.88%,-220.47%,-190.08%,-197.91%,-3504.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-1204.46%,-239714.53%,-2852.15%,-,-548.65%,-132.51%,-182.21%,-193.07%,-128.01%,-340.06%,-856.04%,-286.66%,-30142.57%,-12853.40%,-6508.08%,-,-,-
Free Cash Flow Per Share,-0.08,-0.05,-0.06,0.14,-0.09,-0.14,-0.09,-0.13,-0.53,-0.44,-0.18,-0.31,-0.12,-0.23,-0.46,-0.15,-0.16,-0.17,-0.02,-0.11,-0.11,-1.29,-0.03,-3.89,-1.38,-4.63,-1.80,-19.08,-38.32,-31.62,-22.90,-52.65,-38.11,-7.35,-54.39,-82.61,-41.83,-,-,-
