Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,16.11,11.95,17.28,15.55,16.83,20.8,21,15.58,12.04,8.09,8.01,-7.36,3.86,-0.7,10.38,9.44,9.35,10.33,6.35
Depreciation & Amortization,2.32,1.59,1.24,1.23,1.24,1.27,1.28,1.34,1.38,1.36,1.3,1.29,1.3,1.3,1.31,1.33,1.37,1.38,-
Share-Based Compensation,1.24,1.11,1.07,1.12,1.12,1.21,1.15,1.58,0.65,1.14,1.21,1.08,0.93,1.12,1.33,1.15,1.14,0.09,-
Other Operating Activities,4.66,3.83,19.08,-9.17,-4.7,0.25,-0.08,32.73,-23.79,16.67,6.71,28.28,6.58,17.44,11.61,7.47,-1.2,6.31,-6.35
Operating Cash Flow,24.32,18.48,38.67,8.73,14.49,23.53,23.35,51.23,-9.74,27.27,17.22,23.3,12.67,19.16,24.63,19.39,10.66,18.11,-
Operating Cash Flow Growth,67.93%,-21.47%,65.58%,-82.97%,-,-13.71%,35.61%,119.87%,-,42.30%,-30.08%,20.18%,18.89%,5.81%,-,-,-,-,-
Capital Expenditures,-2.66,-0.54,-0.76,-0.17,-0.95,-0.48,-0.08,0.07,-0.12,-1.24,-3.07,-1.33,-0.33,-0.2,-0.34,2.71,0.3,-1.56,-
Acquisitions,0,125.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,-330.41,-268.45,-147.3,-197.31,-130.45,-54.85,-1.35,246.46,-114.57,16.41,-22.31,-376.71,-157.06,-241.4,-191.56,-179.32,-252.06,-288.15,-
Other Investing Activities,0.17,-,-,-,0.24,-,0.63,3.48,-,1.05,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-332.9,-143.25,-148.06,-197.48,-131.16,-55.33,-0.8,250.02,-114.69,16.22,-25.38,-378.04,-157.39,-241.6,-191.9,-176.61,-251.76,-289.71,-
Share Issuance / Repurchase,0.17,-4.97,-10.83,-3.2,-16.42,-8.35,0,-12.71,-1.05,-5.91,-0,0,0,-0.07,87.11,1.01,0.67,64.06,-
Debt Issued / Paid,98.33,7.17,-91.26,70.01,-10,-40.77,-6.5,-3.29,-9.01,-54.23,-150.87,58.87,67.96,41.05,-31.63,-4.35,-19.79,-39.75,-
Other Financing Activities,172.91,113.57,242.93,122.7,-62.7,246.92,79.86,-695.21,356.46,201.83,188.3,331.25,48.42,240.65,98.55,184.63,161,345.51,-
Financing Cash Flow,271.41,115.77,140.85,189.51,-89.12,197.81,73.36,-711.22,346.4,141.69,37.43,390.12,116.39,281.64,154.03,181.28,141.88,369.82,-
Net Cash Flow,-37.17,-9,31.46,0.75,-205.8,166.01,95.91,-409.97,221.98,185.17,29.27,35.38,-28.33,59.19,-13.25,24.06,-99.22,98.22,-
Free Cash Flow,21.67,17.93,37.91,8.55,13.54,23.05,23.27,51.3,-9.85,26.02,14.15,21.97,12.34,18.96,24.29,22.1,10.96,16.54,-
Free Cash Flow Growth,60.06%,-22.20%,62.90%,-83.33%,-,-11.42%,64.47%,133.49%,-,37.25%,-41.74%,-0.57%,12.57%,14.60%,-,-,-,-,-
Free Cash Flow Margin,37.21%,34.68%,75.61%,17.53%,27.80%,43.29%,45.91%,114.89%,-26.09%,77.44%,43.52%,96.40%,46.80%,94.76%,71.13%,65.57%,33.83%,57.03%,-
Free Cash Flow Per Share,0.45,0.37,0.77,0.17,0.27,0.45,0.46,0.99,-0.19,0.50,0.27,0.42,0.24,0.36,0.47,0.43,0.21,0.32,-
