Metrics,2023-03-25,2022-12-24,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-6.12,-7.19,-5.55,-1.31,0,0,0,0,-35.09,-34.43
Depreciation & Amortization,2.07,2.08,1.79,1.43,1.42,1.36,1.28,1.38,1.83,0
Share-Based Compensation,35.22,49.54,26.81,0,0.02,0.03,0.03,0.03,0.04,0
Other Operating Activities,0.14,56.63,-74.57,-33.94,-104.34,38.62,12.23,23.99,95.61,26.2
Operating Cash Flow,31.31,101.05,-51.52,-33.83,-102.9,40,13.54,25.41,70.62,0
Operating Cash Flow Growth,-,152.63%,-,-,-,-,-,-,-,-
Capital Expenditures,-6.02,-6.99,-7.18,-2.21,-1.06,-7.51,-6.84,-2.77,0,0
Change in Investments,-106.33,-96.81,0,0,0,0,0,0,0,0
Investing Cash Flow,-112.34,-103.8,-7.18,-2.21,-1.06,-7.51,-6.84,-2.77,0,0
Share Issuance / Repurchase,0.99,0,0,488.65,0,173.8,0,0,0,0
Other Financing Activities,-11.71,-,-,-300,-,-,-,-,-,-
Financing Cash Flow,-10.73,0,0,188.65,0,173.8,0,0,0,0
Net Cash Flow,-91.64,-2.73,-58.21,152.62,-104,206.41,7.73,22.58,68.06,0
Free Cash Flow,25.3,94.06,-58.7,-36.04,-103.96,32.5,6.71,22.64,70.62,0
Free Cash Flow Growth,-,189.47%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,9.48%,45.59%,-24.02%,-20.53%,-107.97%,42.17%,7.31%,17.21%,304.69%,-
Free Cash Flow Per Share,0.42,1.61,-0.91,-0.71,-15.13,5.00,1.04,0.55,10.99,-
