Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Net Income,12.18,9.11,7.71,6.35,5.34,6.73,2.52,4.5,4.17,3.88,3.61,2.53,2.6,3.87,3.82,3.47,2.99,2.87,1.68,2.22,1.96,0.66,1.14,1.03,0.82,0.69,0.74,0.75
Depreciation & Amortization,0.17,0.17,0.17,0.18,0.18,0.17,0.18,0.18,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.11,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.06,-
Share-Based Compensation,0.79,0.62,0.69,0.58,0.56,0.5,0.48,0.49,0.49,0.38,0.38,0.39,0.39,0.29,0.27,0.27,0.27,0.2,0.88,0.22,0.2,0.13,0.13,0.15,0.14,0.14,0.1,-
Other Operating Activities,1.53,-1.46,3.29,0.25,5.06,-0.01,3.18,-2.13,8.46,-5.7,-1.09,3.05,4.59,-0.57,7.64,-3.71,-2.8,-0.44,1.85,-2.27,0.3,0.09,-1.24,1.18,-0.67,4.41,-0.55,-0.75
Operating Cash Flow,14.67,8.44,11.86,7.35,11.15,7.39,6.37,3.04,13.28,-1.29,3.05,6.11,7.72,3.73,11.86,0.16,0.57,2.75,4.51,0.28,2.56,0.99,0.14,2.46,0.39,5.27,0.35,-
Operating Cash Flow Growth,31.63%,14.18%,86.35%,141.80%,-16.10%,-,108.83%,-50.24%,72.10%,-,-74.30%,3792.36%,1263.60%,35.42%,162.72%,-44.13%,-77.93%,178.36%,3056.64%,-88.58%,562.53%,-81.22%,-59.14%,-,-,-,-,-
Capital Expenditures,-0.85,-0.12,-0.37,-0.35,-0.4,-0.68,-0.65,-0.76,-0.86,-1.37,-0.53,-0.66,-0.59,-0.5,-1.12,-0.11,-0.33,-0.88,-0.22,-0.13,-0.02,-0.02,-0.01,-0.09,-0.07,-0.52,-0.8,-
Change in Investments,-9.13,-66.28,-15.81,-65.76,-72.42,-47.16,-75.6,0.55,-45.33,-101.38,-26.94,11.58,-15.57,-39.21,-10.55,-18.05,-27.44,-27.2,-47.03,-30.57,-36.7,-42.91,-32.1,-10.37,-23.22,-9.79,-30.15,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-0,-
Investing Cash Flow,-9.98,-66.4,-16.18,-66.11,-72.81,-47.84,-76.25,-0.21,-46.19,-102.74,-27.47,10.92,-16.16,-39.71,-11.68,-18.16,-27.78,-28.08,-47.25,-30.7,-36.71,-42.93,-32.11,-10.46,-23.29,-10.31,-30.95,-
Dividends Paid,-0.78,-0.69,-0.73,-0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Share Issuance / Repurchase,-0.22,0.16,0.01,0.17,0,0.01,0,0.01,0.01,0.11,0,-0.08,-0.2,0,0,0.05,0,0,0,0,0.38,0,5,22.28,0,0,0,-
Debt Issued / Paid,0,-0,0,-0,0,0,-0,0,0,-0.04,-0,0,-0,-0,-0,-0,0,-0.18,-0,-0,-0,-0,-0,-0,-0.09,-0,-0,-
Other Financing Activities,35.98,40.5,31.97,65.57,61.45,51.37,62.38,55,55.61,58.54,20.58,27.1,17.21,36.11,21.34,8.19,46.56,16.23,55.08,15.38,33.24,53.57,18.56,-7.01,12.58,17.47,19.83,-
Financing Cash Flow,34.99,39.96,31.25,65.01,61.45,51.37,62.38,55.01,55.62,58.62,20.58,27.01,17.01,36.11,21.34,8.24,46.56,16.05,55.07,15.38,33.61,53.57,23.56,15.27,12.5,17.47,19.83,-
Net Cash Flow,39.68,-18,26.93,6.26,-0.22,10.92,-7.5,57.84,22.71,-45.41,-3.84,44.05,8.57,0.13,21.52,-9.76,19.35,-9.28,12.34,-15.04,-0.54,11.63,-8.41,7.27,-10.41,12.42,-10.78,-
Free Cash Flow,13.82,8.32,11.49,7,10.75,6.71,5.72,2.28,12.42,-2.65,2.52,5.46,7.13,3.23,10.74,0.05,0.23,1.87,4.29,0.15,2.55,0.97,0.13,2.38,0.32,4.75,-0.45,-
Free Cash Flow Growth,28.61%,23.94%,100.91%,206.93%,-13.47%,-,126.89%,-58.19%,74.21%,-,-76.52%,11264.58%,2960.09%,72.47%,150.12%,-67.35%,-90.85%,93.80%,3151.52%,-93.81%,708.25%,-79.62%,-,-,-,-,-,-
Free Cash Flow Margin,47.58%,35.00%,53.88%,36.79%,64.56%,41.15%,45.91%,14.92%,90.55%,-20.37%,20.68%,53.34%,68.56%,28.31%,91.00%,0.43%,2.43%,20.09%,49.76%,1.77%,32.04%,13.54%,2.10%,41.82%,5.89%,92.14%,-9.31%,-
Free Cash Flow Per Share,1.69,1.02,1.42,0.87,1.33,0.85,0.73,0.29,1.59,-0.35,0.33,0.71,0.93,0.43,1.42,0.01,0.03,0.25,0.58,0.02,0.34,0.13,0.02,0.33,0.04,0.66,-,-
