Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,3.01,3.6,2.91,1.83,2.5,-0.01,0
Other Operating Activities,-3.28,-3.69,-3.25,-2.06,-2.69,0.01,-
Operating Cash Flow,-0.27,-0.09,-0.34,-0.23,-0.19,0,0
Share Issuance / Repurchase,0,0,0,0,201.28,0,0
Debt Issued / Paid,0,0,0,0,-1.33,0,0
Other Financing Activities,0.02,-,-,-0,7.49,-,-
Financing Cash Flow,0.02,0,0,-0,207.43,0,0
Net Cash Flow,-0.25,-0.13,-0.34,-0.24,0.97,0,0
Free Cash Flow,-0.27,-0.09,-0.34,-0.23,-0.19,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.02,-,-
