Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-0.78,-0.93,4.13,8.27,12.73,8.57,5.94,-3.83,8.67,2.13
Other Operating Activities,0.52,0.76,-4.2,-8.37,-12.93,-8.69,-5.97,3.69,-8.86,-2.24
Operating Cash Flow,-0.26,-0.17,-0.07,-0.1,-0.2,-0.12,-0.03,-0.13,-0.18,-0.12
Change in Investments,-0.5,0,0,0,0,0,0,0,0,0
Investing Cash Flow,-0.5,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,735
Debt Issued / Paid,0.5,0,0,0,0,0,0,0,0,-0.2
Other Financing Activities,-,-,-,-,-,-,-,-,-,16.31
Financing Cash Flow,0.5,0,0,0,0,0,0,0,0,751.11
Net Cash Flow,-0.26,1.02,-0.07,-0.1,-0.2,-0.12,-0.03,-0.13,-0.18,0.99
Free Cash Flow,-0.26,-0.17,-0.07,-0.1,-0.2,-0.12,-0.03,-0.13,-0.18,-0.12
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-,-0.00,-0.00,-0.00
