Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Net Income,20.19,18.77,20.92,7.67,15.38,65.47,17.03,15.96,14.46,8.47,1.7,-15.28,3.38,13.48,11.93,12.86,13.07,14.43,11.55,10.42,9.43,8.82,17.34,10.39
Depreciation & Amortization,1.29,1.96,1.48,1.29,1.15,1.52,2.09,1.87,1.79,3.47,1.99,1.96,1.96,1.21,1.93,2.01,1.94,2.46,2,1.95,2.14,2.25,2.32,-
Share-Based Compensation,1.83,1.6,1.65,1.28,1.26,1.23,1.17,1.63,0.76,0.64,0.52,0.75,0.39,1.92,1.48,1.47,1.49,0.17,0,0,0,0,0,-
Other Operating Activities,-42.1,-39.35,-7.44,-46.87,-29.91,-40.95,-12.15,5.54,-9.98,-5.65,19.12,36.36,-2.56,-14.08,27.05,4.55,-3.92,4.42,0.9,0.23,2.07,-26.38,24.1,-10.39
Operating Cash Flow,-18.8,-17.02,16.61,-36.63,-12.12,27.26,8.15,25,7.02,6.94,23.34,23.79,3.18,2.53,42.39,20.89,12.58,21.47,14.45,12.6,13.64,-15.31,43.77,-
Operating Cash Flow Growth,-,-,103.78%,-,-,292.87%,-65.08%,5.07%,120.96%,174.38%,-44.95%,13.90%,-74.74%,-88.22%,193.38%,65.80%,-7.77%,-,-66.98%,-,-,-,-,-
Capital Expenditures,-3.74,-2.6,-3.54,-2.58,-1.92,130.3,-2.22,-1.46,-0.81,11.75,-0.52,-2.01,-1.32,-0.71,-3.93,-2.5,-1.95,-3.58,-2.03,-1.62,-1.9,-4.33,26.73,-
Acquisitions,-1.97,0,0,0,0,0,0,-1.04,0,0,0,0,0,-14.39,0,0,0,0,0,0,7.5,0,0,-
Change in Investments,-176.4,-381.32,-597.23,-223.8,-184.27,-15.93,38.78,169.37,68.33,169.5,134.14,-101.32,76.12,-79.21,79.95,-3.95,232.54,292.17,67.57,-267.34,115.74,6.92,148.69,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-30,-
Investing Cash Flow,-182.11,-383.91,-600.77,-226.38,-186.19,114.37,36.56,166.87,67.52,181.24,133.63,-103.33,74.8,-94.31,76.01,-6.45,230.59,288.59,65.53,-268.96,121.34,2.59,145.42,-
Dividends Paid,-3.02,-3.01,-3.01,-3.05,-3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,0,0,-
Share Issuance / Repurchase,-1.74,-0.05,-0.02,-17.24,-55.82,-38.15,-1.45,-6.57,-1.87,-55.05,0,0,-15.24,-1.7,0,0,0.75,0,0,0,0,0,0,-
Debt Issued / Paid,158.3,-63.61,150,-150,198.43,0,0,-244.12,0,0,0,-156.65,1.93,63.56,19.14,55,-95.45,-171.12,80,25,60,145,-18,-
Other Financing Activities,242.53,456.08,385.27,511.15,60.83,4.49,-48.53,-3.17,-53.56,-145.9,-147.16,182.49,85.07,49.91,-126.53,-68.81,-144.5,-156.82,-173.64,82.93,-42.77,-175.28,-101.69,-
Financing Cash Flow,396.08,389.4,532.24,340.87,200.29,-33.66,-49.98,-253.86,-55.43,-200.96,-147.16,25.84,71.75,111.78,-107.4,-13.81,-239.19,-327.94,-93.64,107.93,-22.77,-30.28,-119.69,-
Net Cash Flow,195.18,-11.53,-51.92,77.86,1.99,107.98,-5.28,-61.99,19.11,-12.77,9.81,-53.7,149.73,20,11.01,0.63,3.98,-17.87,-13.65,-148.43,112.21,-43,69.49,-
Free Cash Flow,-22.53,-19.62,13.07,-39.2,-14.04,157.56,5.93,23.54,6.22,18.69,22.82,21.78,1.86,1.82,38.46,18.39,10.63,17.9,12.42,10.98,11.74,-19.64,70.49,-
Free Cash Flow Growth,-,-,120.50%,-,-,743.12%,-74.03%,8.05%,234.79%,924.56%,-40.66%,18.46%,-82.53%,-89.81%,209.77%,67.47%,-9.43%,-,-82.39%,-,-,-,-,-
Free Cash Flow Margin,-25.04%,-22.92%,15.77%,-54.54%,-17.78%,112.89%,8.44%,33.29%,10.07%,31.06%,47.91%,124.78%,3.78%,2.70%,56.61%,26.54%,15.50%,25.51%,18.54%,15.95%,17.63%,-23.76%,90.37%,-
Free Cash Flow Per Share,-0.67,-0.58,0.39,-1.15,-0.41,4.20,0.16,0.62,0.16,0.44,0.54,0.52,0.04,0.04,0.89,0.43,0.25,0.42,0.29,0.26,0.28,-0.46,1.66,-
