Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,3.33,0.52,1.61,5.94,13.33,0
Other Operating Activities,-3.49,-0.91,-1.79,-6.07,-13.95,-0.01
Operating Cash Flow,-0.17,-0.38,-0.19,-0.13,-0.63,-0.01
Share Issuance / Repurchase,0,0,0,0,225.4,0
Debt Issued / Paid,0,0,0,-0.03,-0.26,0
Other Financing Activities,-0.03,-,-,-,11.2,-
Financing Cash Flow,-0.03,0,0,-0.03,236.34,0
Net Cash Flow,-0.17,-0.36,-0.19,-0.15,1.12,0
Free Cash Flow,-0.17,-0.38,-0.19,-0.13,-0.63,-0.01
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.05,-0.00
