Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.26,0.52,-0.4,-0.36,-0.26,-0.38,-0
Other Operating Activities,-1.79,-0.6,-0.11,0.16,0.35,-0.5,0
Operating Cash Flow,-0.53,-0.07,-0.51,-0.2,0.09,-0.87,0
Change in Investments,201.94,0,0,0,0,0,0
Investing Cash Flow,201.94,0,0,0,0,0,0
Share Issuance / Repurchase,-201.3,0,0,0,0,225.4,0.03
Debt Issued / Paid,0.3,0,0,0,0.1,-0.1,0.13
Other Financing Activities,-,-,-,-,-0.07,10.63,-0.12
Financing Cash Flow,-201,0,0,0,0.04,235.93,0.03
Net Cash Flow,0.4,-0.07,-0.26,-0.2,0.12,0.46,0.03
Free Cash Flow,-0.53,-0.07,-0.51,-0.2,0.09,-0.87,0
Free Cash Flow Per Share,-0.02,-0.00,-0.02,-0.01,0.00,-0.03,-
