Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Net Income,6.45,10.33,8.04,9.97,10.67,12.47,13.1,12.08,11.03,9.68,7.49,6.18,1.35,5.42,6.47,5.76,4.78,-0.71,3.66,3.51,3.2,0.09,4.42,-3.34,0.33,2.93,2.11,2.48,1.58,2.09,2.04
Depreciation & Amortization,0.87,0.78,0.78,0.79,0.82,0.84,0.85,0.9,0.87,0.94,0.91,0.67,0.68,0.69,0.73,0.72,0.74,0.73,0.1,0.1,0.1,0.11,0.11,0.13,0.11,0.1,0.1,0.11,0.11,0.06,-
Share-Based Compensation,1.51,2.56,0.25,-1.83,0.38,-0.69,0.65,0.72,0.92,-1.16,0.99,0.92,0.48,2.09,0.6,0.34,-1.76,1.14,0.31,0.33,0.31,0.29,0.29,0.25,0.24,0.17,0.2,0.22,0.19,0.15,-
Other Operating Activities,13.21,29.17,19.33,-86.05,-29.7,72.87,-17.9,0.89,6.77,18.36,-68.16,56.61,-16.75,-41.1,-39.99,-12.69,-18.15,-4.15,14.88,-1.63,11.72,-17.56,21.62,-29.98,6.29,22.87,-1.16,-29.94,4.23,-6.15,-2.04
Operating Cash Flow,22.04,42.84,28.39,-77.11,-17.83,85.49,-3.29,14.59,19.58,27.82,-58.78,64.38,-14.25,-32.9,-32.19,-5.87,-14.39,-2.99,18.94,2.31,15.33,-17.07,26.44,-32.95,6.97,26.07,1.25,-27.14,6.12,-3.85,-
Operating Cash Flow Growth,-,-49.89%,-,-,-,207.26%,-,-77.35%,-,-,-,-,-,-,-,-,-,-,-28.37%,-,119.99%,-,2011.90%,-,13.88%,-,-,-,-,-,-
Capital Expenditures,-0.01,-0.54,-0.13,0.21,-0.09,-0.2,-0.06,-0.13,-0.08,0.63,1.46,0.8,-0.01,-0.06,-0.24,-0.18,-1.11,-0.26,-3.85,-0.07,-0.07,-0,-0.01,-0.32,-0.74,-0.71,-0.06,-0.04,0,-0.02,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,63.48,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,-83.78,-43.31,-18.14,-76.53,-110.97,-28.33,19.6,15.14,-49.53,-155.38,-1.12,-148.63,-28.57,-17.9,22.96,68.5,-24.14,0.61,-32.58,-8.85,-85.53,26.26,33.87,28.27,-75.47,-34.22,-30.13,-34.04,-44.02,-30.9,-
Other Investing Activities,1.11,0.89,-0.01,-0.72,0.21,-9.62,0.88,0.61,-28.55,-1,1.27,0.43,1.12,1.86,0.25,0.12,-2.11,3.42,-,-,-,-,-,-,-,-,-,0.08,0.29,0.12,-
