Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Net Income,-1.23,4.39,3.1,7.61,4.73,14.22,4.06,0.66,2.55,4.05,0,0,0,-3.64,1.64,1,1,0,0,0,-0,-0,0
Depreciation & Amortization,2.3,4.8,0.96,0.97,2.53,0.98,0.99,0.99,1.06,2.42,2.42,2.41,2.57,10.34,0,0,0,11.66,0,0,0,0,-
Share-Based Compensation,24.49,16.09,13.1,13.29,16.1,12.98,12.92,16.35,32.48,135.18,22.74,10.02,8.99,34.26,0,0,0,21.28,0,0,0,0,-
Other Operating Activities,-30.32,31.31,55.34,25.12,17.09,5.82,62.85,30.2,-20.29,-116.61,24.25,14.34,-44.59,55.52,-1.77,-1.06,-1.11,84.08,-,0.04,-0.04,0,-
Operating Cash Flow,-4.76,56.58,72.5,46.99,40.44,34.01,80.82,48.19,15.79,25.04,49.4,26.77,-33.04,96.49,-0.12,-0.06,-0.11,117.03,0,0.04,-0.04,0,-
Operating Cash Flow Growth,-,66.39%,-10.29%,-2.49%,156.11%,35.82%,63.59%,80.04%,-,-74.05%,-,-,-,-17.55%,-,-,-,-,-,-,-,-,-
Capital Expenditures,-0.2,0.62,-0.72,-0.39,-0.29,-0.19,-0.16,-0.18,1.28,-0.14,-0.15,-0.21,-0.81,-4,0,0,0,-0.87,0,0,0,0,-
Change in Investments,-4.54,-0.35,-4.83,-0.61,-3.51,-15.98,-4.98,-2.64,-5.28,-2.69,-1.46,0.8,-0.88,17.78,0,0,-7.66,8.83,0,0,0,0,-
Investing Cash Flow,-4.74,0.27,-5.55,-1,-3.79,-16.16,-5.14,-2.81,-4,-2.83,-1.61,0.59,-1.68,13.79,0,0,-7.66,7.96,0,0,0,0,-
Dividends Paid,-4.58,-4.63,-5.09,-4.32,-4.39,-4.41,-4.23,-3.41,-2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Share Issuance / Repurchase,-3.33,-5.9,-13.88,-11.94,-3.68,-1.74,-7.35,0,24.47,186.6,0,0,0,-7.57,0,-0,7.58,0,0,-0.04,0.04,0,-
Debt Issued / Paid,-1,-1,-1,-1,-1,-1,-1.28,107.05,-51.11,-42,0,0,-74.2,17.7,0,-0.1,0.08,-28.74,0,0,0,0,-
Other Financing Activities,-4.81,-63.32,-22.35,-25.14,-46.43,-34.16,-208.29,-39.45,-23.88,-127.61,-16.66,-40.11,168.74,-108.56,-,-,-,-125.03,-,-,-,-,-
Financing Cash Flow,-13.72,-74.85,-42.32,-42.4,-55.5,-41.31,-221.15,64.19,-53,16.99,-16.66,-40.11,94.54,-98.43,0,-0.1,7.66,-153.77,0,-0.04,0.04,0,-
Net Cash Flow,-23.29,-16.41,23.09,1.97,-19.68,-23.8,-145.85,109.56,-41.87,39.96,31.61,-12.78,59.49,12.16,-0.12,-0.16,-0.11,-28.96,0,0,0,0,-
Free Cash Flow,-4.96,57.2,71.77,46.6,40.16,33.82,80.65,48.02,17.07,24.9,49.26,26.56,-33.85,92.49,-0.12,-0.06,-0.11,116.16,0,0.04,-0.04,0,-
Free Cash Flow Growth,-,69.12%,-11.01%,-2.95%,135.21%,35.85%,63.74%,80.81%,-,-73.08%,-,-,-,-20.38%,-,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-5.01%,57.30%,52.31%,44.65%,38.20%,17.75%,68.31%,40.11%,16.54%,16.01%,48.41%,29.46%,-40.97%,22.21%,-,-,-,30.69%,-,-,-,-,-
Free Cash Flow Per Share,-0.12,1.35,1.65,1.03,0.90,0.77,1.82,1.08,0.41,0.62,1.44,0.74,-0.94,2.58,-0.00,-0.00,-0.00,3.63,-,0.01,-0.01,-,-
