Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,15.73,10.18,16.89,16.1,19.43,17.45,16.88,14.39,12.98,9.45,9.39,7.74,9.82,10.67,12.36,12.96,8.73,9.74,9.85
Depreciation & Amortization,0.71,1.21,1.25,0.71,0.71,0.64,0.72,0.72,0.73,0.74,0.73,0.74,0.72,0.75,0.62,0.77,0.58,0.25,-
Share-Based Compensation,0.3,0.69,0.69,0.36,0.19,0.38,0.38,0.37,0.3,0.58,0.57,0.38,0.29,0.43,0.43,0.35,0.32,0.58,-
Other Operating Activities,8.8,-20.99,-20.94,34.14,74.08,-7.92,-13.55,9.72,11.25,-1.88,7.75,-1.54,97.09,-90.97,79.59,71.91,-77.29,-153,-9.85
Operating Cash Flow,25.53,-8.91,-2.11,51.3,94.42,10.54,4.43,25.2,25.26,8.89,18.44,7.32,107.91,-79.13,93,85.99,-67.66,-142.44,-
Operating Cash Flow Growth,-72.96%,-,-,103.61%,273.73%,18.63%,-75.95%,244.11%,-76.59%,-,-80.17%,-91.48%,-,-,-,-,-,-,-
Capital Expenditures,-1.16,-0.93,-1.09,-0.31,-0.03,-0.05,-0.04,-0.19,-0.1,-0.06,-0.14,-0.18,-0.17,-0.24,-0.28,-0.25,-0.33,-0.86,-
Change in Investments,43.93,-78.28,-208.55,-256.39,-98.29,-170.86,-274.5,-228.21,-235.09,-134.45,-95.5,-103.19,-130.65,98.1,-71.3,-50.88,6.89,117.17,-
Other Investing Activities,4.11,-,-,-,-7.96,0.8,-22.31,-,-,-,-15,-,1.46,-,-,-,-,-,-
Investing Cash Flow,46.88,-79.2,-209.64,-256.7,-106.27,-170.11,-296.85,-228.4,-235.19,-134.51,-110.64,-103.36,-129.35,97.86,-71.58,-51.13,6.55,116.32,-
Dividends Paid,-4.53,-3.8,-3.85,-3.82,-3.82,-3.56,-3.1,-2.57,-2.57,-2.31,-2.36,-2.81,-2.81,-2.78,-2.69,-2.47,-2.43,-2.45,-
Share Issuance / Repurchase,-0.55,-4.31,-1.61,-2.28,0,0,-2.12,-3.42,0,0,0,0,0,13.91,0,-0,-1.48,0,-
Debt Issued / Paid,-0.01,-0,-0,-5.01,-120.05,199.99,99.99,120,-30,9.99,17.43,-0.04,19.97,-0.03,59.57,-0.17,-0.51,-0.08,-
Other Financing Activities,-22.75,95.99,173.85,14.87,119.12,151.19,137,228.91,266.03,142.1,-12.11,107.02,-64.5,-27.98,39.17,12.21,39.75,-10.87,-
Financing Cash Flow,-27.83,87.88,168.38,3.76,-4.75,347.62,231.77,342.92,233.46,149.78,2.97,104.17,-47.34,-16.87,96.04,9.57,35.33,-13.4,-
Net Cash Flow,44.58,-0.24,-43.37,-201.64,-16.61,188.05,-60.64,139.71,23.53,24.16,-89.24,8.13,-68.78,1.87,117.47,44.43,-25.78,-39.53,-
Free Cash Flow,24.37,-9.84,-3.2,50.99,94.39,10.49,4.39,25.01,25.16,8.83,18.3,7.15,107.75,-79.37,92.72,85.74,-67.99,-143.3,-
Free Cash Flow Growth,-74.18%,-,-,103.92%,275.10%,18.80%,-76.01%,249.92%,-76.65%,-,-80.26%,-91.67%,-,-,-,-,-,-,-
Free Cash Flow Margin,75.57%,-30.83%,-8.75%,146.21%,247.06%,28.69%,12.50%,80.11%,89.48%,37.40%,81.50%,35.23%,458.12%,-326.51%,343.66%,313.54%,-305.76%,-608.03%,-
Free Cash Flow Per Share,0.97,-0.39,-0.13,2.00,3.71,0.41,0.17,0.97,0.98,0.34,0.71,0.28,4.22,-3.11,3.66,3.39,-2.69,-5.66,-
