Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,87.4,65,107.6,93.9,103.6,132.5,196.8,137.3,155.5,155.5,118.9,102.9,-247,112,112.1,109.4,94.1,106.8,111.2,140.6,165.2,471.7,99.5,41.7,42.6,37.8,53.4
Depreciation & Amortization,6.1,7.4,7.1,7.7,9.5,10.2,9.8,10.1,10.6,11.6,11.6,11,15,17.1,15.2,15.3,15,10.6,20.8,15.8,15.4,22.3,14.8,9.4,6.3,10.8,5.8
Share-Based Compensation,21.6,22.6,22.2,23.2,22.6,17.5,16,17.1,17.6,14.5,18.1,17.5,16.6,17.5,18.6,18,20.1,17.9,23.3,24.8,16.4,10.1,26.4,23,7.9,7.2,9.9
Other Operating Activities,-223.3,51,85,38.1,-193.2,121,96.8,104.5,-157.9,38.6,34.4,73.2,253.3,60.4,27.3,-25,-163.9,108,91.3,-62,-135.3,-278.2,15.9,-82.1,12.8,53.1,-26.4
Operating Cash Flow,-108.2,146,221.9,162.9,-57.5,281.2,319.4,269,25.8,220.2,183,204.6,37.9,207,173.2,117.7,-34.7,243.3,246.6,119.2,61.7,225.9,156.6,-8,69.6,108.9,42.7
Operating Cash Flow Growth,-,-48.08%,-30.53%,-39.44%,-,27.70%,74.54%,31.48%,-31.93%,6.38%,5.66%,73.83%,-,-14.92%,-29.76%,-1.26%,-,7.70%,57.47%,-,-11.35%,107.44%,266.74%,-,-,-,-
Capital Expenditures,-2,-7.3,-2.8,-4.6,-2.9,-4.5,-4.8,0.5,-1.6,-1.3,-4.1,-4.2,-8.2,-14.6,-8.4,-7.3,-7.5,-11.5,-6.3,-4.8,-6.5,-8.6,-0.7,-6.4,-2,-1,-3.6
Acquisitions,0,-2.7,8.7,-2,-5,21.3,2,1.7,2.4,1.6,1.4,2.2,38.6,0.8,0.3,0.9,0.3,1.6,4.3,0,36.5,-11.2,0.5,417.2,0,-3.1,-5.3
Change in Investments,-233.1,-42.5,45.9,82.7,-9,-34.3,-220.1,-68.5,22.6,119.1,137.7,-164.8,11.4,-350.9,-28,-33.4,58.5,22.9,33.9,49.2,-18.4,4,-36.1,166.3,-3.5,-43,1.9
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.3,-9,1.4,-8.7,41.3,-24.8
Investing Cash Flow,-235.1,-52.5,51.8,76.1,-16.9,-17.5,-222.9,-66.3,23.4,119.4,135,-166.8,41.8,-364.7,-36.1,-39.8,51.3,13,31.9,44.4,11.6,0.5,-45.3,578.5,-14.2,-5.8,-31.8
Dividends Paid,-64.7,-64.9,-64.7,-65.5,-64.3,-64.5,-64.8,-65,-61.7,-64.8,-65.8,-66.1,-66.2,-66.3,-67.8,-68.6,-69.7,-69.2,-71.2,-71.6,-63.1,-63.7,-63.7,-128.6,0,4.5,-46.1
Share Issuance / Repurchase,-57.5,-6.1,-8.6,-56.4,-137.3,-65,-69.7,-5.8,-290.9,-27,-53,-27.9,-71,-12.7,-82,-76.2,-68,-43.1,-50.9,-1.3,-82.5,-4.2,-4.9,5.2,-16.5,-5.7,0
Debt Issued / Paid,-0.2,-0.2,-0.4,-0.6,-0.2,-0.2,0,-0.3,0,-0.3,0.2,-0.3,-0.2,-0.3,-0.2,-0.3,-0.3,-0.2,-13.8,-0.6,-82,-42.8,-50.5,59.2,0,5.5,6.1
Other Financing Activities,136.2,67.3,9.2,-13.4,-13,39,21.6,9.1,30.1,-99.1,-172.6,131.7,91.4,255.3,42.5,67.9,-60.3,-15.3,-46.5,-24.9,19.4,-22.9,25.8,-188.4,-8.7,16.8,8.1
Financing Cash Flow,13.8,-3.9,-64.5,-135.9,-214.8,-90.7,-112.9,-62,-322.5,-191.2,-291.2,37.4,-46,176,-107.5,-77.2,-198.3,-127.8,-182.4,-98.4,-208.2,-133.6,-93.3,-252.6,-25.2,21.1,-31.9
Net Cash Flow,-314.1,140.7,162,60.3,-305.2,174,-32.7,140.7,-271.5,181.6,46.1,78.2,5.7,22.8,42.7,-8.9,-176.7,120.5,92.3,38.4,-128.8,94.5,16,322.1,38.4,99.5,-25.7
Free Cash Flow,-110.2,138.7,219.1,158.3,-60.4,276.7,314.6,269.5,24.2,218.9,178.9,200.4,29.7,192.4,164.8,110.4,-42.2,231.8,240.3,114.4,55.2,217.3,155.9,-14.4,67.6,107.9,39.1
Free Cash Flow Growth,-,-49.87%,-30.36%,-41.26%,-,26.40%,75.85%,34.48%,-18.52%,13.77%,8.56%,81.52%,-,-17.00%,-31.42%,-3.50%,-,6.67%,54.14%,-,-18.34%,101.39%,298.72%,-,-,-,-
Free Cash Flow Margin,-22.23%,26.92%,42.72%,28.50%,-9.74%,39.69%,45.77%,36.50%,3.76%,33.31%,31.47%,38.69%,5.35%,32.00%,30.75%,20.60%,-8.13%,42.52%,41.35%,19.31%,9.39%,34.95%,27.50%,-3.63%,29.01%,41.23%,15.96%
Free Cash Flow Per Share,-0.67,0.84,1.32,0.94,-0.36,1.62,1.82,1.56,0.14,1.21,0.97,1.08,0.16,1.03,0.86,0.57,-0.21,1.17,1.20,0.57,0.28,1.08,0.78,-0.07,-,-,-
