Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,4.18,-0.44,6.35,-0.83,-0,-0
Other Operating Activities,-4.27,0.21,-6.58,0.24,0,0
Operating Cash Flow,-0.1,-0.23,-0.23,-0.59,-,-
Change in Investments,0,0,0,-236.9,-,-
Investing Cash Flow,0,0,0,-236.9,-,-
Share Issuance / Repurchase,0,0,0,230,-,-
Debt Issued / Paid,0,0,0,-0.58,-,-
Other Financing Activities,-,-0.48,-0.01,9.83,-,-
Financing Cash Flow,0,-0.48,-0.01,239.25,-,-
Net Cash Flow,-0.1,-0.71,-0.24,1.76,-,-
Free Cash Flow,-0.1,-0.23,-0.23,-0.59,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.06,-,-
