Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.14,0.09,-0.1,-0.2,-0.11,-0.18,-0.09,-0.02
Other Operating Activities,-0.32,-0.43,0.03,0.09,0.07,-0.18,0,0
Operating Cash Flow,-0.18,-0.34,-0.07,-0.11,-0.04,-0.36,-0.09,-0.02
Share Issuance / Repurchase,0,0,0,0,0,60.58,0.03,0.03
Debt Issued / Paid,0.12,0,0,-0,0,-0.14,0.15,0.02
Other Financing Activities,-,-,-,-,-,-1.21,-0.09,-0.03
Financing Cash Flow,0.12,0,0,-0,0,59.23,0.09,0.02
Net Cash Flow,-0.06,-0.34,-0.07,-0.11,-0.04,0.79,0,0
Free Cash Flow,-0.18,-0.34,-0.07,-0.11,-0.04,-0.36,-0.09,-0.02
Free Cash Flow Per Share,-0.04,-0.04,-0.01,-0.01,-0.01,-0.07,-0.07,-0.09
