Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,10.87,12.48,11.91,6.15,6,0.67,6.63,6.23,2.41,7.29,5.81,1.28,1.76,-2.4,-0.66,1.52,-3.06,-7.35,-6.12,-16.71,-7.29,-14.61,-0.74,-2.16,-4.51,-4.01,4.03,-0.33,5.71,-2.39,7.66,-0.59,-6.37,-7.77,-3.23
Depreciation & Amortization,3.8,3.87,3.84,3.57,3.61,3.49,3.57,3.82,4.22,4.39,3.98,4.22,4.24,4.31,4.45,4.27,4.22,4.27,4.26,4.97,4.91,4.08,4.17,4.14,4.53,4.4,4.23,4.19,4.11,4.14,3.82,3.98,4.06,3.57,-
Share-Based Compensation,0.54,0.55,0.97,1,0.96,1.04,0.12,0.05,0.05,0.05,0.03,0.02,0.04,-0.07,0.01,0.16,0.15,0.22,-0.04,0.39,0.4,0.62,0.51,0.31,0.55,0.71,0.82,0.93,0.51,7.5,0.63,0.9,0.6,4.53,-
Other Operating Activities,-7.22,2.73,3.15,-2.91,-26.53,0.52,-18.54,12.51,-6.54,0.11,-11.65,3.32,-2.86,4.01,-5.87,3.26,-11.47,11.13,-0.35,10.63,0.2,19.26,-2.61,-5.54,-5.58,19.09,-2.48,11.62,6.42,-9.85,6.31,-10.8,1.77,11.19,-7.47
Operating Cash Flow,8,19.62,19.86,7.81,-15.96,5.71,-8.23,22.6,0.14,11.84,-1.84,8.84,3.18,5.86,-2.07,9.21,-10.15,8.28,-2.25,-0.72,-1.79,9.36,1.33,-3.25,-5.01,20.19,6.61,16.41,16.76,-0.51,25.52,6.23,12.68,24.32,-
Operating Cash Flow Growth,-,243.42%,-,-65.43%,-,-51.72%,-,155.74%,-95.47%,102.12%,-,-4.03%,-,-29.26%,-,-,-,-11.51%,-,-,-,-53.66%,-79.80%,-,-,-,-74.12%,163.42%,32.16%,-,-,-,-,-,-
Capital Expenditures,-4.15,-3.43,-6.26,-5.03,-3.15,-5.25,-1.12,-1.18,-2.52,-3.77,-1.68,-0.71,-0.94,-0.88,-0.61,-0.54,-2.15,-0.61,-2.92,-1.42,-0.69,-0.97,-1.95,-1.06,-3.28,-1.93,-5.36,-3.23,-3.78,-4.8,-3.34,-4.87,-5.66,-4.28,-
Acquisitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.98,-
Other Investing Activities,0.05,-,0.08,0.01,0.01,-,-,0,0.16,-,-,-,-,0.15,-,-,-,-,0.32,-0.07,-0.47,-0.01,-0.08,-1.44,-,-,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-4.1,-3.43,-6.18,-5.02,-3.15,-5.25,-1.12,-1.18,-2.37,-3.77,-1.68,-0.71,-0.94,-0.73,-0.61,0.91,-2.15,-0.61,-2.6,-1.48,-1.16,-0.98,-2.03,-2.5,-3.28,-1.93,-5.36,-3.23,-3.78,-4.8,-3.34,-4.87,-0.66,-5.26,-
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-2.51,-2.5,-2.53,-2.49,-2.49,-2.54,0,0,0,0,0,0,-
Share Issuance / Repurchase,0,0,0,0,0,0,-0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.01,0,133,-55.58,0,-0.42,0,-
Debt Issued / Paid,-0.79,-26.69,-1.19,-5.85,10.56,-0.64,-0.42,-15.68,-30.5,-0.83,-0.6,-0.59,26,-0.75,-0.51,-0.52,-0.14,-0.13,-0.08,-0.18,-0.13,0,0,0,0,0,-9,0,0,-122.5,276.34,-5.64,-6.63,-12.94,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-0,-0.34,0.09,0.11,0.18,0.24,-7.44,-239.96,-0.59,-,0.02,-
Financing Cash Flow,-0.79,-26.69,-1.19,-5.85,10.56,-0.64,-0.45,-15.64,-30.5,-0.83,-0.6,-0.59,26,-0.75,-0.51,-0.52,-0.14,-0.13,-0.08,-0.18,-0.13,-0,-2.51,-2.5,-2.86,-2.4,-11.38,-8.38,0.24,3.07,-19.19,-6.23,-7.05,-12.92,-
Net Cash Flow,3.12,-10.47,12.46,-3.09,-8.55,-0.17,-9.81,5.78,-32.72,7.25,-4.1,7.54,28.22,4.39,-3.19,9.6,-12.41,7.47,-4.93,-2.45,-3.01,8.39,-3.12,-7.98,-11.05,15.69,-10.23,4.64,13.25,-2.25,2.85,-4.77,4.84,6.04,-
Free Cash Flow,3.86,16.2,13.6,2.79,-19.12,0.47,-9.36,21.42,-2.38,8.06,-3.51,8.13,2.24,4.98,-2.68,8.67,-12.3,7.67,-5.17,-2.14,-2.48,8.38,-0.61,-4.31,-8.29,18.26,1.25,13.18,12.98,-5.31,22.18,1.36,7.02,20.04,-
Free Cash Flow Growth,-,3368.09%,-,-86.99%,-,-94.21%,-,163.44%,-,61.94%,-,-6.19%,-,-35.10%,-,-,-,-8.46%,-,-,-,-54.10%,-,-,-,-,-94.39%,867.84%,84.82%,-,-,-,-,-,-
Free Cash Flow Margin,3.19%,12.81%,10.92%,2.46%,-17.16%,0.50%,-9.39%,22.98%,-2.67%,9.58%,-4.25%,11.39%,3.03%,6.86%,-3.74%,12.96%,-18.39%,11.20%,-7.29%,-3.48%,-4.51%,14.58%,-1.00%,-7.86%,-14.81%,27.10%,1.53%,17.88%,15.02%,-5.68%,20.60%,1.43%,9.08%,22.81%,-
Free Cash Flow Per Share,0.34,1.42,1.21,0.25,-1.70,0.04,-0.83,1.91,-0.21,0.72,-0.31,0.72,0.20,0.44,-0.24,0.78,-1.10,0.69,-0.46,-0.19,-0.22,0.75,-0.06,-0.39,-0.75,1.65,0.11,1.17,1.15,-0.47,1.96,0.12,0.62,1.77,-
