Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,2.35,1.4,0.15,6.77,-0.01,-0,-0
Other Operating Activities,-2.65,-1.37,-0.43,-8.2,0.01,-,-
Operating Cash Flow,-0.3,0.02,-0.28,-1.42,-0,-0,-0
Change in Investments,0,0,0,-197.28,0,0,0
Investing Cash Flow,0,0,0,-197.28,0,0,0
Share Issuance / Repurchase,0,0,0,199.76,0,0,0
Debt Issued / Paid,0,0,0.02,-0.14,0,0,0
Other Financing Activities,-,-,-0.02,-0.15,-,-,-
Financing Cash Flow,0,0,-0,199.47,0,0,0
Net Cash Flow,-0.3,0.02,-0.28,0.77,-0,-0,-0
Free Cash Flow,-0.3,0.02,-0.28,-1.42,-0,-0,-0
Free Cash Flow Per Share,-0.01,0.00,-0.01,-0.08,-,-,-
