Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.35,-0.42,-0.61,-0.48,-0.35,-0.06,-0
Other Operating Activities,0.02,-0,0.32,0.16,0.22,-0.14,0
Operating Cash Flow,-0.33,-0.42,-0.28,-0.31,-0.14,-0.21,-0
Change in Investments,-0.35,-0.58,0,0,0,-58.08,0
Investing Cash Flow,-0.35,-0.58,0,0,0,-58.08,0
Share Issuance / Repurchase,0,0,0,0,0,59.28,0.03
Debt Issued / Paid,-0.45,0.95,0.16,0,0,0,0
Other Financing Activities,1.15,-,-,-,-,-0.4,-
Financing Cash Flow,0.71,0.95,0.16,0,0,58.88,0.03
Net Cash Flow,0.02,-0.05,-0.12,-0.31,-0.14,0.6,0.02
Free Cash Flow,-0.33,-0.42,-0.28,-0.31,-0.14,-0.21,-0
Free Cash Flow Per Share,-0.23,-0.29,-0.04,-0.04,-0.13,-0.14,-
