Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,38.41,39.9,43.32,29.63,33.47,41.51,36.84,29.46,31.79,22.8,22.92,24.03,4.13,29.05,27.41,26.88,7.41,9.83,8.94,10.19,10.39,3.26,5.14,3.62,3.1,3.19,3.38,3.17,2.81,2.54,2.52,1.84,1.8,1.67,1.34,1.18,0.94,0.98,0.95
Depreciation & Amortization,4.76,4.67,4.62,5,4.38,3.76,4.56,3.66,3.77,3.92,4.05,3.77,4.09,3.56,4.43,3.94,4.01,1.73,1.63,1.73,1.99,1.25,0.71,0.43,0.45,0.49,0.4,0.41,0.39,0.39,0.39,0.32,0.33,0.33,0.35,0.33,0.33,0.33,-
Share-Based Compensation,3,2.88,3.11,2.56,2.33,2.22,2.61,2.58,2.32,2.06,2.11,1.81,0.57,1.84,1.55,1.63,18.24,0.89,0.93,1.29,0.69,0.71,0.39,0.35,0.22,0.12,0.24,0.24,0.22,0.19,0.17,0.17,0.11,0.2,0.09,0.04,0.12,0.08,-
Other Operating Activities,-11.64,-4.1,-0.9,-6.17,28.04,-44.04,-1.15,28.28,45.34,-15.02,-2.8,-1.74,30.94,-6,2.09,-10.29,-11.78,-0.9,0.55,0.31,0.21,5.11,0.89,-10.19,11.2,-1.46,0.29,-2.19,-0.86,-1.42,4.74,-4.13,6.17,-4.97,2.71,-4.05,1.55,-0.96,-0.95
Operating Cash Flow,34.54,43.34,50.15,31.02,68.22,3.44,42.86,63.97,83.22,13.76,26.29,27.87,39.73,28.46,35.47,22.16,17.88,11.55,12.05,13.53,13.27,10.32,7.17,-5.8,14.96,2.34,4.31,1.64,2.57,1.73,7.83,-1.78,8.43,-2.76,4.51,-2.47,2.96,0.45,-
Operating Cash Flow Growth,-49.37%,1158.36%,17.01%,-51.50%,-18.03%,-74.98%,63.05%,129.52%,109.46%,-51.63%,-25.90%,25.79%,122.25%,146.45%,194.45%,63.80%,34.72%,11.87%,67.98%,-,-11.33%,340.36%,66.50%,-,482.48%,35.57%,-44.99%,-,-69.53%,-,73.81%,-,184.89%,-,-,-,-,-,-
Capital Expenditures,0.02,-1.39,-1.21,-0.9,-1.13,5.51,6.21,-10.08,-0.66,-0.43,-1.34,-0.28,1.34,-1.26,-4.18,0.37,-2.59,-1.82,-1.72,-1.18,-0.3,-42.54,-1.06,-0.75,-0.4,-0.2,-0.54,-0.27,-0.07,-0.14,-0.8,-0.83,-0.63,-0.18,-0.2,-1.75,-0.12,-0.15,-
Acquisitions,0,0,0,0,0,-55.52,0,0,0,0,0,0,0,0,0,7.15,112.71,0,1.75,0,-33.56,32.38,-11.44,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,-
Change in Investments,-66.53,-427.22,-396.08,"-1,007.81",-563.65,52.36,-391.39,-197.39,-227.65,-11.02,-140.27,-325.2,-404.47,-4.27,36.26,-193.19,2.65,-108.04,-27.77,-117.3,-110.37,-8.8,66.52,-95.07,-65.6,-82.94,-1.96,-48.14,-69.21,-81.23,-17,-36.5,-20,-19.51,-36.47,-39.97,-11.49,-51.12,-
Other Investing Activities,-,-,-,-,-,-,2.23,-,-,7.11,-,-,-,-,-,-,-,0.29,-,-,-,1.92,0.34,-0.34,-,-,-,-,-,-,-,-,-,-7.01,-,-,-,-,-
Investing Cash Flow,-66.51,-428.61,-397.28,"-1,008.71",-564.78,2.35,-382.96,-207.47,-228.31,-4.34,-141.61,-325.48,-403.13,-5.53,32.09,-185.66,112.77,-109.57,-27.74,-118.48,-144.23,-17.05,54.36,-96.16,-65.99,-83.13,-2.49,-48.41,-69.28,-81.37,-6.65,-37.32,-20.63,-26.69,-36.67,-41.72,-11.61,-51.27,-
Dividends Paid,-10.84,-10.79,-10.79,-10.79,-9.91,-9.87,-9.91,-8.41,-8.36,-8.21,-8.56,-8.56,-8.73,-6.48,-6.71,-6.78,-6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
