Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,-0.01,0.15,-0.12,-0.24,-0.25,-0.07,-0
Other Operating Activities,-0.13,-0.25,0.03,0.04,0.15,-0.73,0
Operating Cash Flow,-0.14,-0.1,-0.09,-0.2,-0.1,-0.8,0
Change in Investments,97.89,0,0,0,0,0,0
Investing Cash Flow,97.89,0,0,0,0,0,0
Share Issuance / Repurchase,-98,0,0,0,0,118.05,0.03
Debt Issued / Paid,0.13,0,0,0,0,0,0
Other Financing Activities,-,-,-,-,-,-0.52,-
Financing Cash Flow,-97.88,0,0,0,0,117.53,0.03
Net Cash Flow,-0.13,0,-0.09,-0.2,-0.1,0.58,0.03
Free Cash Flow,-0.14,-0.1,-0.09,-0.2,-0.1,-0.8,0
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.01,-0.01,-0.09,-
