Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,0.65,0.38,0.02,-0.21,-0.5,-0.06,-0,-0
Other Operating Activities,-0.7,-0.65,-0.07,-0.06,0.35,-0.9,-,-0
Operating Cash Flow,-0.05,-0.27,-0.06,-0.27,-0.15,-0.96,-0,-0
Change in Investments,0.03,0,0,0,0,0,0,0
Investing Cash Flow,0.03,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,174.85,0,0
Debt Issued / Paid,0,0,0,0,0,-0.12,0.02,0.1
Other Financing Activities,-,-,-,-,-,-0.31,-0.02,-0.1
Financing Cash Flow,0,0,0,0,0,174.42,-0.01,0.01
Net Cash Flow,-0.02,-0.05,-0.06,-0.27,-0.15,0.56,-0.01,0.01
Free Cash Flow,-0.05,-0.27,-0.06,-0.27,-0.15,-0.96,-0,-0
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.01,-0.01,-0.09,-,-
