Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.16,0.39,-0.05,-0.43,-0.48,0,0
Other Operating Activities,-1.23,-0.44,-0.04,0.24,-0.62,-,-
Operating Cash Flow,-0.07,-0.05,-0.1,-0.2,-1.1,0,0
Change in Investments,0,0,0,-25.25,-202,0,0
Investing Cash Flow,0,0,0,-25.25,-202,0,0
Share Issuance / Repurchase,0,0,0,24.5,196.03,0,0
Other Financing Activities,-,-,-,0.75,7.94,-,-
Financing Cash Flow,0,0,0,25.25,203.98,0,0
Net Cash Flow,-0.07,-0.05,-0.1,-0.2,0.88,0,0
Free Cash Flow,-0.07,-0.05,-0.1,-0.2,-1.1,0,0
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.17,-,-
