Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,2.63,2.85,2.88,4.52,0.46,2.68,-4.39,16.98
Other Operating Activities,-2.71,-2.91,-3.06,-4.64,-0.72,-2.78,4.33,-17.82
Operating Cash Flow,-0.08,-0.06,-0.18,-0.13,-0.26,-0.1,-0.06,-0.84
Change in Investments,0,0,0,0,0,0,0,-310
Investing Cash Flow,0,0,0,0,0,0,0,-310
Share Issuance / Repurchase,0,0,0,0,0,0,0,303.8
Debt Issued / Paid,0,0.03,0.23,0,0,-0.7,0,0.7
Other Financing Activities,-,-,-,-,-,-,-,7.69
Financing Cash Flow,0,0.03,0.23,0,0,-0.7,0,312.19
Net Cash Flow,-0.08,-0.03,0.05,-0.13,-0.26,-0.8,-0.06,1.35
Free Cash Flow,-0.08,-0.06,-0.18,-0.13,-0.26,-0.1,-0.06,-0.84
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.00,-0.01,-0.00,-0.00,-0.03
