Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,0.83,0.98,0.39,-0.47,-0.3,-0.26,-0.27
Other Operating Activities,-1.22,-1.15,-0.56,-0.04,0.04,0.17,-0.62
Operating Cash Flow,-0.4,-0.16,-0.17,-0.5,-0.26,-0.09,-0.9
Share Issuance / Repurchase,0,0,0,0,0,0,206.5
Debt Issued / Paid,0,0,0,0,0,0,-0.2
Other Financing Activities,-,-,-0.07,-,-,-,-3.62
Financing Cash Flow,0,0,-0.07,0,0,0,202.68
Net Cash Flow,-0.4,-0.16,-0.24,-0.5,-0.26,-0.09,1.79
Free Cash Flow,-0.4,-0.16,-0.17,-0.5,-0.26,-0.09,-0.9
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.05
