Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,-0.04,2.39,2.11,2.74,0.36,-0.27,6.29,-0
Other Operating Activities,-0.19,-2.55,-2.23,-3.05,-0.38,0.25,-6.6,0
Operating Cash Flow,-0.23,-0.16,-0.12,-0.3,-0.02,-0.02,-0.3,0
Change in Investments,143.19,-1.37,0,0,0,0,0,0
Investing Cash Flow,143.19,-1.37,0,0,0,0,0,0
Share Issuance / Repurchase,-143.46,0,0,0,-0,0,177.2,0.03
Debt Issued / Paid,0.32,1.73,1.73,0,0,0,0,0
Other Financing Activities,143.19,-1.37,-1.73,-,-,-0.12,-176.28,-
Financing Cash Flow,0.05,0.36,0,0,-0,-0.12,0.92,0.03
Net Cash Flow,-0.18,0.2,-0.12,-0.3,-0.02,-0.15,0.62,0.03
Free Cash Flow,-0.23,-0.16,-0.12,-0.3,-0.02,-0.02,-0.3,0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.03,-
