Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,12.42,11.32,14.62,13.66,13.32,13.26,13.32,13.94,13.5,13.02,13.43,-1.72,7.23,7.11,7.68,4.27,6.2,5.31,6.66,6.11,5.81,0.96,5.01,4.51,4.33,4.42,4.58
Depreciation & Amortization,0.24,-0.01,0.47,0.22,0.05,0.07,-0.06,-1.08,-0.76,-2.31,-3.53,-2.38,0.08,0.28,-0.34,0.5,0.39,0.43,0.54,0.46,0.46,0.48,0.47,0.51,0.49,0.55,-
Share-Based Compensation,-0.9,0.56,0.65,1.39,-0.63,0.51,0.31,1.55,-0.09,1.61,0.82,1.7,0.44,0.86,0.41,0.91,-0.02,0.48,0.64,1.09,0.42,0.23,0.24,0.61,0.97,0.92,-
Other Operating Activities,-7.2,16.73,5.76,-16.01,-10.13,-0.63,7.56,5.24,-1.12,2.99,0.45,6.09,-1.12,2.32,3.1,-1.1,-3.78,0.45,-0.04,-3.5,-1.29,4.58,0.7,0.39,5.28,-3.39,-4.58
Operating Cash Flow,4.55,28.6,21.49,-0.75,2.61,13.21,21.12,19.65,11.53,15.3,11.17,3.7,6.63,10.57,10.85,4.58,2.79,6.68,7.79,4.16,5.4,6.25,6.42,6.02,11.07,2.51,-
Operating Cash Flow Growth,74.55%,116.50%,1.75%,-,-77.37%,-13.67%,89.07%,431.17%,73.98%,44.78%,2.95%,-19.24%,137.24%,58.30%,39.32%,10.18%,-48.28%,6.76%,21.25%,-30.94%,-51.22%,149.02%,-,-,-,-,-
Capital Expenditures,-0.34,-0.31,-0.82,-0.19,-0.46,-0.71,-0.6,-0.42,-0.31,-0.89,-0.52,-0.44,-0.36,-0.4,-0.61,-0.35,-0.53,-0.18,-0.25,-0.26,-0.47,-0.29,-0.02,-0.21,-0.29,-0.1,-
Acquisitions,0,82.17,0,0,0,0,0,0,0,0,0,43.06,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,-
Change in Investments,63.92,-74.13,-68.6,-93.29,-238.35,-317.56,-191.56,-177.01,-168.3,41.61,41.96,-190.73,7.38,-26.22,-63.1,-41.78,17.46,-105.78,-33.81,-28.92,-57.9,-1.05,12.72,-45.88,-26.74,-14.11,-
Other Investing Activities,-,-0.05,-0.04,14.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.68,-,-,-,-,-,-
Investing Cash Flow,63.58,7.68,-69.46,-78.59,-238.81,-318.27,-192.16,-177.42,-168.61,40.73,41.44,-148.11,7.02,-26.62,-63.72,-40.06,16.93,-105.96,-34.06,-29.17,-57.69,-1.33,12.7,-46.09,-27.03,-14.2,-
Dividends Paid,-5.22,-4.99,-4.48,-4.48,-4.46,-4.25,-4.25,-4.25,-3.81,-3.67,-3.67,-2.87,-2.87,-2.47,-2.48,-2.47,-2.1,-2.05,-2.05,-1.97,-1.97,-1.92,-1.92,-1.88,-1.87,-1.86,-
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2,0,0,0,0,0,0,0,0,0,0,0,-0.53,-
Debt Issued / Paid,135.79,-192.97,41.61,236.75,-0.35,-0.35,-0.35,-0.35,-15.35,-112.72,-101.94,40.22,-60.54,21.76,7.61,89.5,-90.04,23.26,66.66,-0.04,-0.04,-11.54,-97.54,108.96,-0.04,-12.64,-
Other Financing Activities,-158.65,160.86,17.36,-209.65,142.61,396.33,170.32,34.52,327.09,71.63,56.78,124.82,31.43,-49.05,78.12,-49.99,90.95,80.12,-57.02,5.88,6.97,98.46,60.92,-61.62,-8.48,61.75,-
Financing Cash Flow,-28.09,-37.1,54.48,22.62,137.8,391.73,165.73,29.93,307.93,-44.76,-48.84,162.16,-31.99,8.44,83.26,37.03,-1.19,101.32,7.59,3.87,4.96,85,-38.54,45.46,-10.39,46.73,-
Net Cash Flow,40.05,-0.82,6.52,-56.73,-98.41,86.68,-5.31,-127.84,150.85,11.27,3.78,17.75,-18.35,-7.61,30.39,1.55,18.53,2.04,-18.69,-21.15,-47.33,89.92,-19.42,5.39,-26.35,35.03,-
Free Cash Flow,4.22,28.29,20.68,-0.94,2.15,12.5,20.52,19.23,11.22,14.41,10.65,3.26,6.26,10.17,10.24,4.23,2.26,6.5,7.54,3.9,4.93,5.97,6.4,5.81,10.78,2.42,-
Free Cash Flow Growth,96.23%,126.28%,0.74%,-,-80.84%,-13.27%,92.73%,490.88%,79.14%,41.78%,4.01%,-23.12%,177.20%,56.38%,35.87%,8.54%,-54.18%,8.95%,17.68%,-32.83%,-54.28%,147.08%,-,-,-,-,-
Free Cash Flow Margin,9.39%,59.84%,44.84%,-2.06%,4.92%,28.74%,47.24%,43.53%,26.42%,32.03%,24.26%,13.95%,21.43%,32.57%,35.01%,15.49%,9.29%,27.39%,30.58%,16.41%,21.51%,26.70%,28.71%,26.95%,50.72%,11.29%,-
Free Cash Flow Per Share,0.54,3.64,2.97,-0.13,0.31,1.80,2.96,2.77,1.62,2.08,1.54,0.55,1.16,2.06,2.13,0.90,0.56,1.60,1.85,0.96,1.22,1.48,1.59,1.44,2.69,0.60,-
