Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Net Income,-2.77,0.26,5.71,8.47,8.78,9.16,20.34,17.6,41.95,-90.42,-0
Other Operating Activities,2.54,-1.76,-5.82,-8.58,-8.98,-10.58,-20.89,-17.75,-42.08,90.39,-
Operating Cash Flow,-0.22,-1.5,-0.12,-0.12,-0.2,-1.42,-0.55,-0.15,-0.13,-0.03,-0
Share Issuance / Repurchase,0,-447.64,0,0,0,0,0,0,0,586.82,0.03
Debt Issued / Paid,0.45,1.3,0,0,0.5,0.5,0.4,0,0.01,0.06,0.2
Other Financing Activities,-,-,-,-,-,-,-,-,-0,9.59,-0.17
Financing Cash Flow,0.45,-446.34,0,0,0.5,0.5,0.4,0,0.01,596.47,0.06
Net Cash Flow,0.23,-0.2,-0.12,-0.12,0.3,-0.92,-0.15,-0.15,-0.12,1.45,0.06
Free Cash Flow,-0.22,-1.5,-0.12,-0.12,-0.2,-1.42,-0.55,-0.15,-0.13,-0.03,-0
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.00,-0.00,-0.02,-0.01,-0.00,-0.00,-0.00,-
