Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Net Income,-0.38,0.39,-0.29,-0.34,0,0
Other Operating Activities,0.29,-0.44,-0.06,0.02,-,-
Operating Cash Flow,-0.09,-0.05,-0.35,-0.32,0,0
Change in Investments,0,0,-0.1,-116.62,0,0
Investing Cash Flow,0,0,-0.1,-116.62,0,0
Share Issuance / Repurchase,0,0,0,117.55,0,0
Debt Issued / Paid,0.09,0,0,-0.12,0,0
Financing Cash Flow,0.09,0,0,117.42,0,0
Net Cash Flow,-0,-0.05,-0.46,0.49,0,0
Free Cash Flow,-0.09,-0.05,-0.35,-0.32,0,0
Free Cash Flow Per Share,-0.01,-0.00,-0.02,-0.02,-,-
