Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,12.32,11.61,15.17,15.26,15.65,10.47,11.77,15.17,15.08,12.49,-90.41,1.69,1.26,10.01,10.41,9.23,-4.07,9.93,10.32,6.87,8.71,4.27,5.16,6.35,4.86,0.42,2.67,2.85,3.44,2.51,2.69,2.53,2.4,1.74,2.33
Depreciation & Amortization,2.25,2.26,2.3,2.51,2.48,2.49,2.2,2.2,2.19,2.18,2.17,2.07,1.93,1.95,1.88,1.86,1.82,1.61,1.53,1.4,1.09,1.05,0.87,0.85,0.8,0.66,0.51,0.5,0.51,0.53,0.48,0.48,0.46,0.67,0.41
Share-Based Compensation,1.21,0.89,0.89,0.74,0.8,0.68,0.57,0.95,0.71,0.8,0.81,1.1,0.76,0.52,0.62,1,0.73,0.56,0.61,0.62,0.72,0.22,0.15,0.35,0.39,0.22,0.07,0.07,0.22,0.28,0.04,0.04,0.18,1.2,0.51
Other Operating Activities,3.34,1.62,-3.8,16.82,-11.13,9.43,17.86,5.2,5.75,-8.28,99.21,11.24,4.61,5.17,-0.97,-5.9,14.27,-5,1.49,-3.45,-0.33,5.42,-3.55,-0.01,0.46,0.93,2.81,-0.59,0.28,-0.9,1.95,-0.47,0.26,1.36,0.86
Operating Cash Flow,19.13,16.38,14.56,35.33,7.8,23.06,32.4,23.51,23.73,7.19,11.78,16.1,8.55,17.66,11.93,6.19,12.75,7.09,13.95,5.44,10.19,10.96,2.63,7.54,6.5,2.23,6.05,2.83,4.44,2.46,5.21,2.61,3.34,5.02,4.21
Operating Cash Flow Growth,145.16%,-28.99%,-55.06%,50.28%,-67.11%,220.72%,174.94%,46.05%,177.53%,-59.27%,-1.22%,160.22%,-32.95%,149.12%,-14.49%,13.69%,25.17%,-35.36%,431.50%,-27.82%,56.66%,392.06%,-56.61%,166.74%,46.31%,-9.25%,16.06%,8.11%,33.13%,-51.07%,23.77%,-,-,-,-
Capital Expenditures,-4.37,-2.26,-0.42,-0.39,-0.26,-0.74,-0.86,-1.56,-1.91,-3.17,-1.96,-3.23,-1.19,-0.92,-0.43,-4.33,-1.25,-1.7,-5.08,-1.18,0.38,-2.39,-1.54,-1.66,-1.29,-0.71,-1.19,-0.54,-0.15,-0.32,-0.3,-5.03,-0.08,-0.8,-1.34
Acquisitions,0,-18.33,-0,-22.94,0,173.86,0,0,0,25.93,0,0,0,0,0,0,85.36,0,8.76,11.39,-0.06,3.25,0,0,-6.74,-2.97,0,0,0,-9.05,0,0,0,-13.76,0
Change in Investments,-15.71,-27.18,-2.4,15.82,-186.44,-74.67,15.52,-75.81,-326.08,108.41,145.85,-234.17,57.59,42.14,92.95,-90.03,-27.74,9.76,-67.28,-108.17,-18.88,-130.19,10.24,-19.01,-58.78,-119.63,-33.89,-12.23,45.11,-21.07,-52.35,-103.54,-75.21,1.93,7.67
Other Investing Activities,1.83,0.2,9.31,0.31,20.79,0.7,1.09,0.09,-24.96,0.01,1.77,0.11,0.05,0.1,0.1,0.09,0.07,0.05,0.07,0.06,0.38,-14.84,-,-,-,-14.5,-,-,-,-,-,-,-,0.03,-
