Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Net Income,-5.12,-1.42,1.14,9.27,8.89,-0.4,3.48,-12.5,22.51,2.92,-1.07,-22.13,-4.06,-164.02,0
Depreciation & Amortization,6.38,6.87,6.49,5.95,7.34,7.73,7.89,8.08,8.14,8.16,8.17,8.12,8.15,30.31,0
Share-Based Compensation,48.27,40.45,37.61,36.96,41.41,45.58,38.23,7.07,6.16,6.33,6.12,6.18,6.19,193.3,0
Other Operating Activities,-181.94,35.03,1.31,50.96,-306.01,55.95,48.62,146.41,-158.04,120.11,43.57,36.98,-147.82,-165.7,977
Operating Cash Flow,-132.41,80.92,46.55,103.13,-248.37,108.87,98.21,149.06,-121.23,137.51,56.79,29.15,-137.55,-106.11,977
Operating Cash Flow Growth,-,-25.67%,-52.60%,-30.81%,-,-20.83%,72.93%,411.33%,-,-,-94.19%,-,-,-,-
Capital Expenditures,-18.33,-18.33,-4.27,-2.57,-1.39,-0.78,-0.23,-0.03,-0.42,-0.56,-0.86,-3.02,-1.09,-7.42,0
Change in Investments,115.57,0.01,-24.18,-115,0,0,0,0,0,0,0,0,0,0,0
Other Investing Activities,0.49,-0.5,-,-,-,-,-,-,-0.98,-,-,-,-,0.15,-
Investing Cash Flow,97.72,-18.83,-28.45,-117.57,-1.39,-0.78,-0.23,-0.03,-1.4,-0.56,-0.86,-3.02,-1.09,-7.27,0
Dividends Paid,-6.65,-18.69,-13.36,-6.02,-19.23,-14.55,-9.99,-37.57,-9.82,-0.2,-2.36,-0,-9.43,-38.38,0
Share Issuance / Repurchase,-14.75,-14.87,-8.84,-43.53,35.31,0,-12,355.02,0,0,0,0,0,-0.03,"-24,999.98"
Debt Issued / Paid,0,0,0,0,0,0,1.76,-188.98,0,0,-22,0,12,10,0
Other Financing Activities,-11.36,-0.57,-3.22,-0.36,-43.4,-5.8,-7.98,-125.11,-,-,-,-,-,-1.84,-
Financing Cash Flow,-32.76,-34.13,-25.42,-49.9,-27.32,-20.35,-28.21,3.36,-9.82,-0.2,-24.36,-0,2.57,-30.24,"-24,999.98"
Net Cash Flow,-66.59,28.65,-7.51,-72.11,-279.64,87.1,66.16,152.49,-131.88,142.85,34.54,23,-136.07,-141.97,"-24,022.98"
Free Cash Flow,-150.75,62.59,42.28,100.56,-249.76,108.09,97.98,149.02,-121.65,136.96,55.93,26.13,-138.64,-113.52,977
Free Cash Flow Growth,-,-42.10%,-56.85%,-32.52%,-,-21.08%,75.18%,470.25%,-,-,-94.28%,-,-,-,-
Free Cash Flow Margin,-114.70%,34.17%,29.08%,66.55%,-164.45%,54.34%,55.22%,58.32%,-71.64%,72.41%,45.53%,22.80%,-150.05%,-21.29%,-
Free Cash Flow Per Share,-3.56,1.47,1.00,2.26,-5.44,2.54,2.30,3.47,-3.86,4.71,1.78,3.80,-,-16.52,142.21
