Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Net Income,-25.93,-56.65,23.56,-9.86,30.94,21.92,-4.25,0,0,-515.33
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,-23.21
Share-Based Compensation,157.29,153.51,143.15,145.14,185.91,0,0,0,0,0
Other Operating Activities,-95.56,490.41,-82.45,-144.55,496.75,395.39,"1,126.71",-305.74,240.79,-102.29
Operating Cash Flow,35.8,587.28,84.26,-9.27,713.6,417.31,"1,122.46",-305.74,240.79,-640.83
Operating Cash Flow Growth,-94.98%,40.73%,-92.49%,-,196.36%,-,-,-,-,-
Capital Expenditures,-0.9,-0.12,-0.18,-0.89,-1.25,-0.18,-1.48,-0.25,0.11,-2.59
Acquisitions,0,0,0,-1.18,0.62,-57.16,27.97,2.02,-8.78,-2.04
Investing Cash Flow,-0.9,-0.12,-0.18,-2.07,-0.64,-57.34,26.49,1.78,-8.67,-4.63
Dividends Paid,-207.09,-183.85,-209.78,-269.18,0,0,0,0,0,215.15
Share Issuance / Repurchase,0,0,0,0,820.62,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,199.48,-50,0,0,-100
Other Financing Activities,-3.24,-348.44,0.52,3.72,"-1,051.7","-1,369.94",-213.06,472.05,-361.1,411.75
Financing Cash Flow,-210.33,-532.29,-209.25,-265.46,-231.08,"-1,170.46",-263.06,472.05,-361.1,526.9
Net Cash Flow,-175.43,54.87,-125.18,-276.79,481.89,-810.49,885.9,168.08,-128.98,-118.56
Free Cash Flow,34.9,587.16,84.08,-10.16,712.35,417.13,"1,120.99",-305.99,240.9,-643.42
Free Cash Flow Growth,-95.10%,40.76%,-92.50%,-,195.70%,-,-,-,-,-
Free Cash Flow Margin,5.43%,133.65%,14.98%,-,64.13%,38.65%,219.26%,-14.03%,20.00%,-41.50%
Free Cash Flow Per Share,0.44,7.41,1.06,-0.13,8.99,1.36,3.65,-1.00,0.79,-2.10
