Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Net Income,958.78,754.64,641.69,571.84,498.81,615.21,533.89,"1,162.3",532.46,401.72,236.49,154.85,43.94,20.85,55.33,23.04,11.07,7.01,3.86,15,-
Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-,-,-,66.1,0,12.65,0,8.33,0,0,0,-
Share-Based Compensation,-,-,-,-,-,-,-,-,-,-,-,-,15.97,0,7.6,0,10.44,0,0,0,-
Other Operating Activities,-958.78,-754.64,-641.69,-571.84,-498.81,-615.21,-533.89,"-1,162.3",-532.46,-401.72,-236.49,-154.85,"3,035.69",-737.73,230.17,-826.68,"1,017.42","3,233.6",-627.2,689.06,-
Operating Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,"3,161.69",-716.88,305.75,-781.13,"1,074.36","3,263.92",-602.96,734.85,-
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,194.29%,-,-,-,-,-,-,-,-
Capital Expenditures,-,-,-,-,-,-,-,-,-,-,-,-,-118.33,0,-47.9,0,-18.79,0,0,0,-
Acquisitions,-,-,-,-,-,-,-,-,-,-,-,-,-6.71,0,0,0,0,0,0,0,-
Change in Investments,-,-,-,-,-,-,-,-,-,-,-,-,-35.02,0,4.19,0,-59.27,0,0,0,-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,79.1,-35.39,-28.1,28.1,30.72,-21.66,-3.56,-5.5,-
Investing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-80.96,-35.39,-71.81,28.1,-47.34,-21.66,-3.56,-5.5,-
Share Issuance / Repurchase,-,-,-,-,-,-,-,-,-,-,-,-,"1,260.29",0,"1,259.32",0,0,0,0,0,-
Debt Issued / Paid,-,-,-,-,-,-,-,-,-,-,-,-,-108.66,0,-757.71,0,35.69,0,0,0,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,"-1,003.77",502.16,"-1,033.3","1,033.3",-360.94,"-2,767.23","2,293.05",835.13,-
Financing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,147.85,502.16,-531.69,"1,033.3",-325.25,"-2,767.23","2,293.05",835.13,-
Net Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,"3,183.94",-236.3,-400.32,369.01,710.58,475.47,"1,671.75","1,577.46",-
Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,"3,043.36",-716.88,257.86,-781.13,"1,055.58","3,263.92",-602.96,734.85,-
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,188.31%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,978.86%,-281.86%,99.23%,-330.36%,464.65%,1447.25%,-323.77%,426.22%,-
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,24.42,-6.39,2.88,-11.67,20.91,64.67,-11.95,14.56,-
