Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Net Income,-2.48,-16.84,-84.81,-141.92,4.52,9.68,23.73,-3.68,-7.61,-5.37,-4.76,-3.73,-2.42
Depreciation & Amortization,20.7,20.78,20.72,17.86,13.07,10.29,6.26,4.92,3.01,2.83,2.92,2.75,2.98
Share-Based Compensation,2.54,3.8,3.96,7.93,6.11,10.04,5.79,6.34,0.42,0.4,0.53,0.25,1.01
Other Operating Activities,-19.73,25.35,44.4,164.26,-63.86,-40.24,-51.56,-16.45,-4.26,5.22,3,1.74,-0.13
Operating Cash Flow,1.03,33.08,-15.73,48.13,-40.17,-10.24,-15.78,-8.86,-8.44,3.08,1.69,1.01,1.44
Capital Expenditures,-5.7,-18.16,-1.01,-97.54,-67.77,-60.67,-29.35,-73.39,-28.75,0.58,-1.57,-1.75,-0.86
Acquisitions,0,0,0,0,0,-23,0,0,0,0,0,0,0
Change in Investments,2.17,7.69,22.86,42.16,-32.3,3.88,2.27,0,0,0,0,0,0
Investing Cash Flow,-3.53,-10.47,21.85,-55.38,-100.07,-79.79,-27.07,-73.39,-28.75,0.58,-1.57,-1.75,-0.86
Share Issuance / Repurchase,15.81,5.58,12.59,9.62,26.29,110.13,34.56,57.01,57.48,0.05,0,0,0
Debt Issued / Paid,-14.87,-33.11,-28.97,-33.68,65.65,59.27,-1.43,6.1,-14.44,-0.86,-0.21,-0.2,-0.6
Other Financing Activities,-,-0.01,0,0.02,-,2.97,16.81,2.32,41.22,1.8,-,-,0.2
Financing Cash Flow,0.94,-27.53,-16.37,-24.03,91.94,172.36,49.93,65.43,84.26,1,-0.21,-0.2,-0.4
Net Cash Flow,-1.56,-4.92,-10.22,-31.31,-48.3,82.33,7.07,-16.82,47.09,4.62,-0.04,-0.97,0.17
Free Cash Flow,-4.67,14.92,-16.73,-49.41,-107.94,-70.91,-45.13,-82.25,-37.18,3.66,0.12,-0.74,0.58
Free Cash Flow Margin,-15.54%,55.19%,-50.33%,-118.17%,-267.65%,-118.98%,-100.79%,-224.19%,-130.78%,32.35%,1.78%,-10.09%,6.27%
Free Cash Flow Per Share,-0.02,0.07,-0.08,-0.24,-0.55,-0.38,-0.27,-0.54,-0.30,0.04,0.00,-0.01,0.01
