Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,2.39,2.12,4.75,24.17,3.05,-6.77,1.99,-0.27
Other Operating Activities,"-2,105.22",-2.48,-5.01,-24.32,"-1,623.13",6.31,-2.47,-0.31
Operating Cash Flow,"-2,102.83",-0.36,-0.27,-0.15,"-1,620.08",-0.46,-0.48,-0.58
Change in Investments,"1,265",0,0,0,"-399,600",0,0,-400
Investing Cash Flow,"1,265",0,0,0,"-399,600",0,0,-400
Share Issuance / Repurchase,0,0,0,0,"410,158.28",0,0.03,410.54
Debt Issued / Paid,-23.79,0,0,0,39.93,0.07,0,0
Other Financing Activities,-,-,-,-,"-7,992",-,-,-8
Financing Cash Flow,-23.79,0,0,0,"402,206.21",0.07,0.03,402.54
Net Cash Flow,-861.62,-0.36,-0.27,-0.15,986.13,-0.39,-0.45,1.96
Free Cash Flow,"-2,102.83",-0.36,-0.27,-0.15,"-1,620.08",-0.46,-0.48,-0.58
Free Cash Flow Per Share,-42.06,-0.01,-0.01,-0.00,-32.35,-0.01,-0.01,-0.03
