Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.56,0.21,-0.12,-0.25,-0
Other Operating Activities,-0.95,-0.32,-0.01,-0.44,-0
Operating Cash Flow,-0.38,-0.11,-0.13,-0.69,-0.01
Change in Investments,0,0,0,-134.9,0
Investing Cash Flow,0,0,0,-134.9,0
Share Issuance / Repurchase,0,0,0,139.79,0.03
Debt Issued / Paid,0,0,0,-0.18,0.08
Other Financing Activities,-,-,-,-3.11,-0.05
Financing Cash Flow,0,0,0,136.5,0.05
Net Cash Flow,-0.38,-0.11,-0.13,0.92,0.05
Free Cash Flow,-0.38,-0.11,-0.13,-0.69,-0.01
Free Cash Flow Per Share,-0.02,-0.01,-0.04,-0.06,-0.00
