Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Net Income,1.9,5.5,3.2,7.38,8.18,9.17,-0,0
Other Operating Activities,-2.1,-6.21,-3.33,-7.56,-8.67,-10.02,-,-
Operating Cash Flow,-0.21,-0.71,-0.13,-0.18,-0.49,-0.85,-0,0
Other Investing Activities,0.06,-,-,-,-,-,-,-
Investing Cash Flow,0.06,0,0,0,0,0,0,0
Share Issuance / Repurchase,0,0,0,0,0,338.1,0,0
Debt Issued / Paid,0,0,0,0,0,6.73,0.1,0
Other Financing Activities,-,-,-,-,-,9.06,-0.04,-
Financing Cash Flow,0,0,0,0,0,353.88,0.06,0
Net Cash Flow,-0.14,0.11,-0.13,-0.18,-0.49,1.13,0.06,0
Free Cash Flow,-0.21,-0.71,-0.13,-0.18,-0.49,-0.85,-0,0
Free Cash Flow Per Share,-0.01,-0.02,-0.00,-0.00,-0.01,-0.06,-,-
