Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Net Income,62.86,26.26,61.07,-89.6,51.23,206.76,55.42,52.38,42.37,23.69,23.85,2.82,5.04,8.77,8.21,2.87,8.9,1.72,-6.88,-3.74,-13.47,27.41,7.99,5.9,-0.57
Depreciation & Amortization,3.09,2.07,1.8,1.05,1.29,1.63,1.85,0.19,-0.75,2.65,2.31,-2.78,2.6,2,2.01,0.53,0.68,0.42,0.4,0.57,0.28,0.37,0.27,0.04,0.02
Share-Based Compensation,2.94,1.7,1.88,2.22,2.27,2.27,1.09,0.06,-0.48,0.53,0.53,-1.46,0.55,1.62,0.77,0.97,0.85,0.85,0.84,0.83,0.79,0,0,0,0
Other Operating Activities,-658.87,209.98,-330.16,280.95,-713.28,-127.43,-120.75,-122.76,266.4,-420.56,664.04,15.4,-2.05,-63.44,102.57,8.23,-8.44,39.48,7.07,-24.59,-99.26,-15.16,0.53,5.2,-6.15
Operating Cash Flow,-589.97,240.02,-265.42,194.63,-658.48,83.23,-62.39,-70.14,307.54,-393.69,690.73,13.98,6.14,-51.06,113.57,12.6,2,42.46,1.42,-26.93,-111.65,12.62,8.8,11.15,-6.71
Operating Cash Flow Growth,-,188.36%,-,-,-,-,-,-,4909.63%,-,508.22%,10.96%,207.72%,-,7897.61%,-,-,236.43%,-83.85%,-,-,-,-,-,-
Capital Expenditures,-10.09,-12.36,-4.9,-0.96,-1.28,-0.71,-1.9,-1.01,0.85,-0.58,-1.27,1.15,-1.48,-0.94,-0.71,-0.68,-2.03,-1.82,-0.2,-0.23,-0.38,-0.3,-0.44,0.06,-0.01
Acquisitions,-75.62,-0,0,0,0,0,0,-0.15,78.12,16.71,0,0,0,0,0,0,0,0,-2.24,10.2,0.43,0,1.37,0,0
Change in Investments,-506.68,-113.17,-125.43,-41.62,46.36,-40.13,-6.23,-1.05,0,-0.07,6.51,-6.85,1.11,-8.56,0,-0,-0.01,0,0.24,3.91,1.68,-2.42,-3.07,0,0.13
Other Investing Activities,274.25,-13.4,-53.93,-15.46,-19.64,-17.69,0.4,-1.25,-0.98,-,-,-3.46,-,-,-,-,-,-,-,-0.11,0.12,-0.22,0.22,-,-
Investing Cash Flow,-318.13,-138.93,-184.26,-58.04,25.43,-58.52,-7.73,-3.46,77.99,16.06,5.23,-9.17,-0.38,-9.5,-0.71,-0.68,-2.03,-1.81,-2.2,13.78,1.85,-2.95,-1.91,0.06,0.12
Share Issuance / Repurchase,0,0,0.68,0,-1.97,1.97,0,0,0,0,0,0.46,0,0,0,-0.02,0.02,0,0.23,29.4,11.18,0.3,8.16,1.74,2.03
Debt Issued / Paid,512.69,123.57,213.69,153.09,110.87,146.04,16.13,298.96,-135.66,132.92,-0.98,7.58,-1.97,12.8,-19.65,6.49,0.83,-36.49,-13.39,20.08,85.87,3.24,3.48,-1.11,2.77
Other Financing Activities,247.4,433.93,123.82,60.14,132.82,-0.39,-10.88,-91.28,200.46,-,-,58.41,0.36,-,0.1,0.02,-,-,-,-,-,-,-,-,-
Financing Cash Flow,760.09,557.49,338.19,213.23,241.72,147.62,5.25,207.68,64.8,132.92,-0.98,66.45,-1.62,12.8,-19.55,6.49,0.85,-36.49,-13.17,49.48,97.04,3.54,11.65,0.63,4.8
Net Cash Flow,-247.14,587.62,143.65,286.67,-406.26,170.8,-39.81,126.53,482.57,-287.05,708.87,40.83,11.33,-52.29,95.92,19.89,-0.84,-0.49,-17.83,34.53,-9.48,10.5,16.77,11.78,0.03
Free Cash Flow,-600.06,227.66,-270.32,193.67,-659.76,82.53,-64.29,-71.15,308.4,-394.27,689.45,15.12,4.66,-52,112.85,11.92,-0.03,40.65,1.22,-27.16,-112.03,12.32,8.36,11.2,-6.72
Free Cash Flow Growth,-,175.85%,-,-,-,-,-,-,6522.18%,-,510.93%,26.91%,-,-,9157.75%,-,-,230.00%,-85.42%,-,-,-,-,-,-
Free Cash Flow Margin,-279.69%,126.26%,-157.21%,298.88%,-532.00%,25.99%,-51.75%,-72.04%,393.64%,-565.59%,1222.11%,-,15.75%,-157.64%,385.83%,52.95%,-0.12%,233.09%,16.47%,-289.87%,-,34.38%,59.78%,108.70%,-234.37%
Free Cash Flow Per Share,-10.23,3.88,-4.54,3.25,-11.08,1.39,-1.08,-1.22,5.28,-6.76,11.81,0.26,0.08,-0.90,1.94,0.20,-0.00,0.70,0.02,-0.82,-2.49,0.55,0.74,1.00,-0.60
