Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Net Income,0.46,-1.61,0.47,0.18,0.39,0.42,0.46,0.83,0.91,-0.1,0.39,0.53,0.26,0.14,-0.61,0.21,0.18,0.33,0.27,0.25,0.22
Depreciation & Amortization,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14
Share-Based Compensation,0.14,0.12,0.13,0.13,0.13,0.08,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.06,0.05,0,0,0,0,0,0
Other Operating Activities,-1.08,0.49,-1.8,2.34,-0.52,-0.91,-0.4,-0.14,0.53,-1.66,-0.25,2.09,-0.5,-0.54,2.14,-1.14,0.04,-0.74,0.34,-0.28,-1.61
Operating Cash Flow,-0.36,-0.88,-1.07,2.78,0.14,-0.27,0.23,0.86,1.6,-1.59,0.3,2.79,-0.07,-0.21,1.71,-0.79,0.35,-0.28,0.74,0.11,-1.25
Operating Cash Flow Growth,-,-,-,222.25%,-91.20%,-,-24.58%,-69.02%,-,-,-82.38%,-,-,-,129.57%,-,-,-,-,-,-
Capital Expenditures,-0.08,0,-0.01,-0.04,-0.05,0,-0.01,-0.02,-0.01,-0.05,-0.01,-0.02,-0.24,-0.06,-0.11,-0.09,-0.03,-0.05,-0.08,-0.02,-0.03
Change in Investments,-2.87,-8.72,-14.97,-16.28,-17.99,-16.9,-6.35,-14.64,-5.57,13.42,-9.21,-33.28,-2.51,-11.68,1.9,-5.78,-7.31,-5.31,-3.93,-7.05,-10.82
Other Investing Activities,0.85,-,-,-,-0.01,-,-,-,-,-0.02,-0,0.02,-,0.02,-,-,-,-,-,-,-
Investing Cash Flow,-2.1,-8.72,-14.99,-16.32,-18.05,-16.9,-6.35,-14.66,-5.58,13.35,-9.22,-33.29,-2.75,-11.71,1.79,-5.87,-7.34,-5.36,-4.01,-7.06,-10.85
Share Issuance / Repurchase,23.38,-0.01,0,-0.38,-0.25,-0.08,-0.04,-0.17,-0.23,-0.23,0,0,0,0,-5.9,28.61,0,0,0,0,0
Debt Issued / Paid,-46.73,16.51,18.64,14.55,20.24,-9.57,-4.24,4.8,-13.85,-20.29,-4.42,10.03,0.77,15.29,-5.09,-25.63,5.91,7.63,-7.83,2.89,0.82
Other Financing Activities,34.19,-5.5,0.21,-2.07,-3.23,2.76,19.96,7.63,34.74,-12.56,10.03,46.72,2.41,-5.86,3.34,9.31,0.21,-2.99,12.63,5.63,9.41
Financing Cash Flow,10.83,11,18.85,12.1,16.76,-6.89,15.69,12.26,20.66,-33.08,5.61,56.75,3.19,9.43,-7.64,12.29,6.12,4.64,4.8,8.52,10.23
Net Cash Flow,8.37,1.4,2.79,-1.44,-1.15,-24.06,9.56,-1.54,16.68,-21.32,-3.31,26.25,0.37,-2.5,-4.14,5.63,-0.87,-1,1.54,1.57,-1.87
Free Cash Flow,-0.44,-0.88,-1.09,2.74,0.09,-0.27,0.22,0.84,1.59,-1.64,0.29,2.76,-0.31,-0.27,1.6,-0.88,0.32,-0.33,0.67,0.09,-1.28
Free Cash Flow Growth,-,-,-,225.39%,-94.34%,-,-24.49%,-69.49%,-,-,-81.61%,-,-,-,140.09%,-,-,-,-,-,-
Free Cash Flow Margin,-10.08%,-27.16%,-25.79%,65.42%,2.19%,-7.30%,5.56%,19.43%,37.38%,-51.09%,7.74%,73.25%,-8.98%,-8.10%,46.03%,-27.86%,10.63%,-9.82%,21.36%,3.04%,-40.96%
Free Cash Flow Per Share,-0.09,-0.15,-0.23,0.57,0.02,-0.05,0.05,0.17,0.33,-0.33,0.06,0.56,-0.06,-0.12,0.40,-0.17,0.06,-0.07,-,-,-
