Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Net Income,2.81,2.35,2.74,3.14,2.47,5.02,-0.04,-0.02,-0.01
Other Operating Activities,-3.07,-2.56,-3,-3.42,-2.63,-5.89,0.04,0.02,0.01
Operating Cash Flow,-0.26,-0.21,-0.26,-0.28,-0.15,-0.87,-0,-0,-0
Share Issuance / Repurchase,0,0,0,0,0,240.55,0,0,0
Debt Issued / Paid,0.39,0.35,0,0,0,0.81,0,0,0
Other Financing Activities,-,-0.07,-,-,-,-5.16,-,-,-
Financing Cash Flow,0.39,0.28,0,0,0,236.2,0,0,0
Net Cash Flow,0.13,0.07,-0.26,-0.28,-0.15,0.74,-0,-0,0
Free Cash Flow,-0.26,-0.21,-0.26,-0.28,-0.15,-0.87,-0,-0,-0
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.11,-,-,-
