Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Net Income,3.53,6.06,4.29,2.49,2.81,5.12,4.18,3,3.12,3.82,3.68,1.98,0.87,2.22,2.51,2.08,2.21,2.13,1.93,1.53,1.52,-0.11,1.77,1.12,2.16,1.19,0.65,1.15,0.9,0.71,1.23,0.76,-7.58,0.88,0.85,0.67,0.46,0.86,0.68
Depreciation & Amortization,0.4,0.5,0.57,0.62,0.38,0.4,0.37,0.33,0.34,0.34,0.36,0.34,0.34,0.59,0.33,0.33,0.33,0.59,0.33,0.33,0.33,0.35,0.29,0.52,0.32,0.32,0.3,0.56,0.3,0.28,0.25,0.3,0.29,0.33,0.33,0.27,0.39,0.38,0.41
Share-Based Compensation,0.39,0.31,0.4,0.48,0.41,0.35,0.93,0.61,0.4,0.38,0.36,0.25,0.3,0.26,0.25,0.27,0.28,0.27,0.26,0.26,0.27,0.27,0.32,0.25,0.22,0.25,0.26,0,0,0,0,0,0,0,0,0,0,0,0
Other Operating Activities,2.47,-4.68,-0.8,2.42,-0.34,-2.18,0.91,-1.65,-1.08,5.4,-2.99,1.19,-3.34,-0.28,-0.14,0.03,2.82,-1.56,3.19,-1.28,3.25,1.06,1.01,0.61,0.27,-0.15,-7.16,5.89,0.32,1.69,-2.69,0.4,0.85,-0.67,2.08,-1.31,3.69,-7.72,4.81
Operating Cash Flow,6.79,2.19,4.46,6.01,3.25,3.7,6.39,2.28,2.79,9.93,1.4,3.75,-1.83,2.78,2.95,2.72,5.65,1.42,5.7,0.84,5.38,1.57,3.39,2.5,2.97,1.61,-5.95,7.61,1.51,2.68,-1.22,1.46,-6.44,0.54,3.26,-0.37,4.54,-6.48,5.9
Operating Cash Flow Growth,108.86%,-40.86%,-30.22%,163.49%,16.65%,-62.75%,355.71%,-39.23%,-,256.92%,-52.51%,38.07%,-,95.57%,-48.22%,225.27%,4.98%,-9.13%,68.02%,-66.59%,80.83%,-2.97%,-,-67.16%,96.69%,-39.80%,-,420.81%,-,393.74%,-,-,-,-,-44.72%,-,-,-,-
Capital Expenditures,-0.56,-0.36,-0.11,-0.85,-1.59,-2.04,-1.71,-1.92,-0.35,-0.39,-0.91,-0.29,-0.23,-0.24,-0.06,-0.1,-0.03,-0.13,-1,-0.76,-0.95,-0.82,-0.27,-0,-0.16,-0.42,-0.38,-0.18,-0.38,-1.07,-0.44,-0.71,-0.28,-0.09,-0.19,-0.94,-0.65,-0.31,-0.07
Acquisitions,0,0,0,0,0,0,63.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,-34.75,-6.97,-55.22,-93.42,-79.12,-26.55,-56.84,-63.95,-47.05,-74.57,-77.18,-122.08,-33.81,-65.81,35.46,24.13,-13.3,-19.82,-34.22,-15.78,11.94,-54.17,-62.83,-4.61,-36.29,-5.3,-23.33,-10.49,-37.63,-19.08,-27.4,0.63,-111.2,-24.36,15.26,18.7,-46.74,8.31,0.99
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-6.5,-,-,-,-,-,-,-0.05,0.02,0.03,0.08,0.01,0.02,0.16,0.03,-10,0.3,0.02,0.54,2.72,0.26,0.41,0.64,0.15,0.96,0.14,0.49,0.73
Investing Cash Flow,-35.31,-7.33,-55.34,-94.27,-80.71,-28.59,4.99,-65.87,-47.4,-74.96,-78.09,-128.87,-34.03,-66.05,35.4,24.03,-13.34,-19.95,-35.27,-16.52,11.02,-54.9,-63.09,-4.59,-36.29,-5.69,-33.71,-10.37,-37.99,-19.61,-25.12,0.19,-111.07,-23.81,15.23,18.72,-47.25,8.48,1.65
Dividends Paid,-0.67,-0.72,-0.68,-0.69,-0.7,-0.7,-0.61,-0.61,-0.61,-0.62,-0.51,-0.52,-0.53,-0.43,-0.33,-0.33,-0.33,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-0.77,-3.38,-1.37,-0.89,-0.2,-1.16,-2.66,-0.33,-2.17,-0.3,-1.79,-1.67,-3.83,-1.87,-2.42,-1.02,-2.83,-3.08,-2.37,-1.47,-3.39,-0.68,-1.81,-2.92,-1.2,-11.1,-1.33,-3.77,-1.73,-0.86,-0.39,-0.68,115.82,0,0,0,0,0,0
Debt Issued / Paid,95.03,-7.85,44.29,63.8,66.03,18.99,-29.03,39.06,-19.78,-0.04,-2.65,-36.68,36.39,26.88,-45.39,-4.74,-0.31,14.27,-3.89,2.19,-20.25,31.71,35.05,-9.93,21.41,-9.71,-4.91,-4.83,10.37,-15.27,0.49,-0.51,0.63,-0.57,-14.76,-16.16,21.57,-0.53,0.59
