Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,46.29,48.36,52.76,48.21,44.41,49.47,52.77,45.76,58.23,56.17,51.38,37.54,20.97,26.44,17.24,14.7,9.74,14.59,15.91,14.82,14.23,19.5,9.63,13.93,8.3,6.75,11.6
Depreciation & Amortization,0.69,0.65,0.63,0.61,0.59,0.58,0.56,0.56,0.5,0.49,0.49,0.46,0.45,0.42,0.15,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.07,0.06,0.07,0.07,0.07
Other Operating Activities,-357.17,-915.95,900.03,-475.4,"1,244.9",282.84,-717.51,-77.15,233.31,273.07,707.21,"-1,140.94",-896.65,376.35,-701.35,"-1,002.22",-7.97,84.01,10.35,185.56,-138.93,-227.98,204.71,-110.31,-97.28,264.81,-233.26
Operating Cash Flow,-301.53,-858.14,959.14,-420.86,"1,295.63",338.62,-658.45,-25.18,295.79,333.34,762.7,"-1,099.32",-871.62,406.83,-680.94,-985.63,2.74,99.56,27.22,201.33,-123.76,-207.56,215.24,-95.49,-88.09,273.63,-221.59
Operating Cash Flow Growth,-,-,-,-,338.02%,1.58%,-,-,-,-18.06%,-,-,-,308.64%,-,-,-,-,-87.36%,-,-,-,-,-,-,-,-
Capital Expenditures,-1.04,-0.58,-1.07,-1.17,-3.94,-0.36,-0.6,-0.68,-2,-2.19,-0.39,-0.44,-0.59,-1.71,-2.63,-5.44,-4.21,-3.76,-2.39,-1.99,-1.06,-0.03,-0.54,-0.2,-0.02,0.01,-1.06
Acquisitions,-4.58,28.12,-29.49,-6.65,-6.58,0.96,-10.55,1.42,-3.49,-4.18,0,0,0,-1.37,0,0,0,-17.82,-1.3,-1.69,6.49,1.85,0.35,-1.8,-0.03,-11.13,0
Change in Investments,"-1,115.46",159.48,"-1,668.91","-1,097.59",-238.88,-360.97,62.9,27.03,-188.76,-632.21,-763.23,-561.21,-567.76,-255.72,-443,-144.38,-99.35,-104.78,33.57,-233.8,-174.31,-147.69,-192.82,-199.15,17.96,85.35,-177.77
Other Investing Activities,0.91,0.08,1.39,0.68,2.25,-,0.04,1.27,-0.46,0.71,-0.25,-0.48,-,0,-,0.12,-,-5.38,-0,-0.54,-0.33,0.08,-0.03,-0.59,-0.48,0.03,-0.93
Investing Cash Flow,"-1,120.18",187.09,"-1,698.07","-1,104.73",-247.15,-360.38,51.79,29.03,-194.71,-637.87,-763.88,-562.13,-568.35,-258.8,-445.63,-149.7,-103.55,-131.73,29.88,-238.02,-169.2,-145.8,-193.03,-201.73,17.43,74.26,-179.77
Dividends Paid,-12.13,-11.82,-8.75,-8.75,-8.76,-8.32,-8.32,-8.39,-6.21,-5.92,-5.92,-5.92,-5.92,-5.63,-8.78,0,-2.84,-2.55,-2.55,-2.55,-2.55,-2.27,-1.91,-1.89,-1.89,-1.89,-1.82
Share Issuance / Repurchase,0,0,0,-3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,0,0,0,0,0
Debt Issued / Paid,303.37,833.11,"-1,343.63",560.98,-154.03,224.82,107.76,156.21,-803.1,-269.95,-142.91,"1,316.55",263.13,21.77,97.45,-275.57,142.34,128.17,-122.24,-9.86,141.62,-0.01,-0.01,-0.36,-0.01,-0.01,-0.01
Other Financing Activities,"1,273.89",-248.05,"2,157.11",823.92,"-1,506.79",35.29,907.74,-19.07,797.94,330.92,176.02,185.92,"1,244.13",-22.44,941.99,"1,558.34",-61.76,-167.67,126.05,113.78,82.11,42.1,129.96,272.47,70.42,-356.33,550.39
Financing Cash Flow,"1,565.13",573.25,804.74,"1,372.21","-1,669.57",251.79,"1,007.18",128.75,-11.37,55.05,27.19,"1,496.55","1,501.34",-6.3,"1,030.65","1,282.77",77.74,-42.06,1.26,101.36,221.17,146.06,128.05,270.22,68.52,-358.23,548.56
Net Cash Flow,143.42,-97.8,65.82,-153.38,-621.09,230.04,400.53,132.61,89.71,-249.47,26.02,-164.9,61.37,141.73,-95.91,147.44,-23.07,-74.23,58.35,64.67,-71.79,-207.29,150.26,-27.01,-2.14,-10.33,147.18
Free Cash Flow,-302.57,-858.73,958.08,-422.03,"1,291.69",338.26,-659.05,-25.86,293.79,331.15,762.31,"-1,099.76",-872.21,405.12,-683.56,-991.07,-1.47,95.8,24.83,199.34,-124.82,-207.59,214.71,-95.68,-88.11,273.65,-222.65
Free Cash Flow Growth,-,-,-,-,339.67%,2.15%,-,-,-,-18.26%,-,-,-,322.87%,-,-,-,-,-88.44%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-279.93%,-766.82%,852.79%,-401.97%,1319.79%,306.31%,-609.81%,-26.50%,257.18%,307.05%,754.78%,-1453.22%,-1578.46%,694.52%,-1616.64%,-2629.75%,-5.40%,256.83%,71.41%,607.03%,-415.85%,-639.54%,830.46%,-297.99%,-412.06%,1251.48%,-844.69%
Free Cash Flow Per Share,-7.01,-19.92,22.23,-9.77,29.91,7.83,-15.26,-0.60,6.81,7.68,17.68,-25.51,-20.24,9.41,-15.88,-23.02,-0.03,2.23,0.58,4.63,-2.90,-5.19,6.72,-3.02,-2.78,8.64,-7.03
