Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-23
Net Income,0.17,0.18,-0.13,-0.19,-0.41,-0,-0
Other Operating Activities,-0.6,-0.37,-0.02,-0.06,-0.31,-0,0
Operating Cash Flow,-0.43,-0.19,-0.15,-0.25,-0.72,-0,0
Share Issuance / Repurchase,0,0,0,0,119.45,0,0.03
Debt Issued / Paid,0,0,0,0,-0.32,0,0
Other Financing Activities,-,-,-,-,-0.2,-,-
Financing Cash Flow,0,0,0,0,118.93,0,0.03
Net Cash Flow,-0.13,-0.19,-0.15,-0.25,0.91,0,0.03
Free Cash Flow,-0.43,-0.19,-0.15,-0.25,-0.72,-0,0
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.02,-0.12,-,-
