Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Net Income,17.75,13.66,-16.5,-29.89,-16.19,9.43,1.5,29.72,18.56,51.12,5.82,35.24,-73.36,11.02,5.95,-0.93,23.15,-40.32,-7.38,11.82,-22.23,15.8,1.52,4.6,-13.08,3.65,3.96,1.02,1.59,4.19,-7.54,0.86,2.39,2.35,-3.78
Depreciation & Amortization,0.09,0.09,0.09,0.07,0.09,0.09,0.09,0.19,0.01,0.01,0.02,-0.78,0.8,0.01,-0,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
Share-Based Compensation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.65,1.86,2.92,0.44,0.45,0.73,0.64,0.64,3.04,0.63,0.63,0.64,0.55,0.48
Other Operating Activities,165.75,-53.75,-43.42,30.53,44.65,-259.4,254.82,-41.81,225,-58.41,-24.99,-315.04,100.09,-10.67,-12.19,-22.45,-35.86,112.67,63.56,-34.01,-7.24,35.44,-125.07,9.06,-1.79,-56.35,61.79,-9.38,-2.17,-119.66,21.49,10.79,35.2,-27.03,-26.53
Operating Cash Flow,183.59,-39.99,-59.83,0.71,28.56,-249.88,256.41,-11.91,243.57,-7.28,-19.16,-280.58,27.54,0.36,-6.24,-23.38,-12.71,72.36,56.19,-22.18,-29.39,51.9,-121.68,16.58,-14.42,-52.25,66.48,-7.71,0.08,-112.43,14.58,12.27,38.23,-24.13,-29.83
Operating Cash Flow Growth,542.87%,-,-,-,-88.28%,-,-,-,784.58%,-,-,-,-,-99.51%,-,-,-,39.43%,-,-,-,-,-,-,-,-,355.86%,-,-99.80%,-,-,-,-,-,-
Capital Expenditures,0,0,0,0,0,0,0,0,0,0,0,0,-11.08,-0.27,0,-6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acquisitions,0,0,-1.47,0,0,0,0,0,0,0,0,0,0,0,-0.06,0.06,0,0,0,0,0.05,-15,0,0,0,0,0,0,-0,0,0,0.01,0.01,0,0
Change in Investments,-0.57,0.15,4.59,-1.09,-1.77,12.03,47.65,4.89,0.71,2.72,-166.78,0.59,0.48,-1.2,0.27,0.06,2.34,-10.26,0,0,15,-1.76,0.03,-0.34,-1.66,-1.56,-3.41,0.82,0.04,-0.27,-1.13,0.74,-41.08,-0.51,0.06
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06,-0.06,-,-,-,-,-0.05,-,-,-,-,-,-,-,0,-,-,-0.01,-0.01,-,-
Investing Cash Flow,-0.57,0.15,3.12,-1.09,-1.77,12.03,47.65,4.89,0.71,2.72,-166.78,0.59,-10.61,-1.47,0.27,-6.19,2.34,-10.26,0,0,15,-16.76,0.03,-0.34,-1.66,-1.56,-3.41,0.82,0.04,-0.27,-1.13,0.74,-41.08,-0.51,0.06
Dividends Paid,0,-2.2,0,-2.2,0,-2.21,0,-2.21,0,-2.23,0,-2.24,-2.25,0,0,-2.25,-2.26,0,0.01,-2.31,-2.37,-2.37,-0.01,-2.39,0,0,-2.5,0,0,0,0,0,0,0,0
Share Issuance / Repurchase,-1.95,-0.52,-0.44,-1.32,-0.29,-0.16,-1.4,-1.89,-4.2,-2.05,-1.1,-1.07,-3.23,-0.77,-1.34,-1.63,-0.39,-0.44,-0.73,-5.38,-0.46,-5.34,-3.78,-11.97,-0.13,-34.75,-2.88,-1.58,-2.42,-0.04,0,0,0,0,0
Debt Issued / Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,20,20,10,20,10,10,10,0,150,0,0,-16,0,0,0,0,0
Other Financing Activities,-3.23,-29,0,-0.71,-0.49,-0.97,-2.16,0.67,0.14,1.01,164.51,0.11,-0.53,-0.6,-0.74,-1.06,-0.53,-0.98,-0.35,-0.34,-1.97,3.38,38.22,0.01,-0.24,0.25,-,-0.04,-0.21,-28.56,-11.49,27.69,37.68,-36.07,79.59
Financing Cash Flow,-5.18,-31.73,-0.44,-4.23,-0.78,-3.34,-3.56,-3.44,-4.06,-3.26,163.41,-3.2,-6,-1.37,-2.09,-4.95,-3.18,-1.42,18.93,11.98,5.2,15.67,44.43,-4.36,9.63,-34.5,144.61,-1.62,-2.63,-44.6,-11.49,27.69,37.68,-36.07,79.59
Net Cash Flow,177.84,-71.57,-57.15,-4.61,26.01,-241.18,300.51,-10.45,240.22,-7.82,-22.41,-282.27,10.01,-2.35,-10.57,-34.52,-13.54,60.68,75.12,-10.2,-9.19,50.81,-77.23,11.88,-6.44,-88.31,207.68,-8.51,-2.51,-157.31,1.97,40.7,34.83,-60.71,49.82
Free Cash Flow,183.59,-39.99,-59.83,0.71,28.56,-249.88,256.41,-11.91,243.57,-7.28,-19.16,-280.58,16.45,0.09,-6.24,-29.63,-12.71,72.36,56.19,-22.18,-29.39,51.9,-121.68,16.58,-14.42,-52.25,66.48,-7.71,0.08,-112.43,14.58,12.27,38.23,-24.13,-29.83
Free Cash Flow Growth,542.87%,-,-,-,-88.28%,-,-,-,1380.57%,-,-,-,-,-99.88%,-,-,-,39.43%,-,-,-,-,-,-,-,-,355.86%,-,-99.80%,-,-,-,-,-,-
Free Cash Flow Margin,7447.95%,-530.57%,-2335.28%,28.04%,1106.04%,-1785.09%,12140.63%,-478.38%,10476.04%,-60.62%,-984.94%,-13574.31%,555.40%,0.64%,-226.62%,-614.50%,-273.11%,840.06%,1204.14%,-462.47%,-624.88%,447.99%,-2318.64%,325.42%,-289.11%,-320.66%,1219.56%,-155.38%,1.66%,-1249.95%,310.94%,267.36%,837.05%,-314.26%,-609.38%
Free Cash Flow Per Share,8.36,-1.82,-2.72,0.03,1.29,-11.33,11.61,-0.54,10.96,-0.33,-0.86,-12.54,0.73,0.00,-0.28,-1.31,-0.56,3.19,2.44,-0.96,-1.25,2.19,-5.10,0.70,-0.60,-2.10,2.67,-0.31,0.00,-4.61,0.58,0.49,1.52,-0.95,-
