Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Net Income,-102.09,-8.42,-105.83,-9.16,45.66,14.17,22.98,7.25,3.02,8.51,-6.05,-34.25,-13.3,4.26,-27.43,1.54,1.69,3.75,2.57
Depreciation & Amortization,13.39,12.91,12.28,11.64,10.7,6.72,5.69,7.74,6.96,5.34,5.12,5.1,4.66,4.44,3.59,3.19,2.88,3.13,2.99
Share-Based Compensation,4.88,6.87,7.05,6.93,6.77,4.32,4.09,5.37,5.09,5.17,5.19,4.97,4.15,4.01,11.16,2.04,1.98,1.74,1.85
Other Operating Activities,160.64,77.18,154.19,43.66,-24.57,34.52,17.13,15.32,3.09,-5.56,41.13,66.07,56.61,38.42,81.23,44.75,40.63,29.33,21.97
Operating Cash Flow,76.81,88.53,67.7,53.08,38.57,59.72,49.89,35.68,18.16,13.46,45.39,41.9,52.12,51.13,68.55,51.51,47.18,37.94,29.38
Operating Cash Flow Growth,99.18%,48.25%,35.70%,48.75%,112.41%,343.61%,9.91%,-14.83%,-65.17%,-73.67%,-33.79%,-18.67%,10.48%,34.77%,133.36%,-,-,-,-
Capital Expenditures,-11.74,-12.07,-13.24,-12.94,-10.64,-7.97,-6.38,-6.48,-5.65,-1.67,-5.8,-7.23,-7.08,-8.72,-7.03,-5.73,-4.74,-8.17,-2.55
Acquisitions,0,0,0,0,0,-111.65,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,-27.14,-241.04,-263.32,-501.53,-110.77,-438.69,-252.5,-58.69,15.51,-96.5,31.6,140.15,-32.27,-188.99,-139.64,-89.86,-52.97,-161.95,-128.97
Other Investing Activities,-0.77,-2.56,-1.29,-1.06,-1.09,-9.74,-0.72,-0.97,-0.87,-4.83,-,-,-,-,-,-,-,-,-
Investing Cash Flow,-39.65,-255.67,-277.85,-515.53,-122.5,-568.05,-259.59,-66.14,8.99,-102.99,25.8,132.92,-39.35,-197.72,-146.66,-95.59,-57.71,-170.12,-131.52
Share Issuance / Repurchase,-1.36,-0.44,-0.93,-0.22,-7.08,0.38,-0.84,-0.28,-2.49,-0.35,-0.47,0.06,-0.79,0.47,60.97,0,0.14,-1.23,0.37
Debt Issued / Paid,-37.7,99.19,349.43,425.97,68.61,477.16,76.32,205.53,-10.07,95.48,-105.2,-183.01,57.97,62.1,132.92,29.97,-0.04,168.32,104.96
Other Financing Activities,-,-,-,-,-,-,-,-,-,-0.5,-,-,-,-0.27,-,-,-,-,-
Financing Cash Flow,-39.06,98.75,348.5,425.75,61.53,477.53,75.49,205.24,-12.55,94.64,-105.67,-182.95,57.18,62.31,193.89,29.97,0.1,167.09,105.34
Net Cash Flow,-1.9,-68.39,138.35,-36.7,-22.4,-30.8,-134.21,174.79,14.59,5.11,-34.48,-8.13,69.95,-84.28,115.78,-14.11,-10.43,34.92,3.19
Free Cash Flow,65.07,76.46,54.46,40.14,27.92,51.75,43.51,29.2,12.51,11.79,39.59,34.67,45.05,42.41,61.53,45.78,42.44,29.77,26.82
Free Cash Flow Growth,133.03%,47.76%,25.15%,37.45%,123.30%,338.86%,9.91%,-15.77%,-72.24%,-72.19%,-35.65%,-24.27%,6.15%,42.45%,129.37%,-,-,-,-
Free Cash Flow Margin,1354.24%,53.31%,37.05%,27.64%,13.62%,32.24%,31.19%,24.30%,11.34%,10.29%,42.24%,75.18%,55.89%,32.22%,53.75%,44.83%,43.01%,25.23%,26.14%
Free Cash Flow Per Share,1.92,2.30,1.65,1.22,0.87,1.80,1.54,1.04,0.45,0.43,1.44,1.27,1.67,4.54,14.33,15.56,14.44,10.14,10.19
