Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Net Income,0.62,0.11,-0.02,-0.11,-
Other Operating Activities,-0.64,-0.2,-0.58,0.11,-
Operating Cash Flow,-0.03,-0.09,-0.61,-0,0
Change in Investments,0,0,0,-125.97,0
Investing Cash Flow,0,0,0,-125.97,0
Share Issuance / Repurchase,1.24,0,0,122.27,0
Other Financing Activities,-1.24,-,-,4.98,-
Financing Cash Flow,0,0,0,127.24,0
Net Cash Flow,-0.03,-0.09,-0.61,1.27,0
Free Cash Flow,-0.03,-0.09,-0.61,-0,0
Free Cash Flow Per Share,-0.00,-0.01,-0.04,-0.00,-
