Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Net Income,-2.55,-6.35,-1.13,9.38,1.46,10.76,-7.18,10.79,-15.75,4.95,-0
Other Operating Activities,1.92,5,0.79,-9.66,-1.8,-11.17,6.96,-11.06,15.75,-4.95,0
Operating Cash Flow,-0.63,-1.35,-0.35,-0.28,-0.34,-0.41,-0.22,-0.27,-,-,-0
Change in Investments,-0.96,247.13,0.28,0.05,0,0,0,0,-,-,0
Investing Cash Flow,-0.96,247.13,0.28,0.05,0,0,0,0,-,-,0
Share Issuance / Repurchase,0,0,0,0,0,0,0,0,-,-,0.03
Debt Issued / Paid,0,0,0,0,0,1.5,0,0,-,-,0.05
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-0.05
Financing Cash Flow,0,0,0,0,0,1.5,0,0,-,-,0.03
Net Cash Flow,-1.59,1.11,-0.06,-0.23,-0.34,1.09,-0.22,-0.27,-,-,0.03
Free Cash Flow,-0.63,-1.35,-0.35,-0.28,-0.34,-0.41,-0.22,-0.27,-,-,-0
Free Cash Flow Per Share,-0.02,-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-,-,-
