Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Net Income,50.92,50.87,51.71,52.4,52.44,48.65,51.55,80.18,75.92,230.69,93.67,48.03,5.46,-50.55,27.09,25.06,35.02,8.67,15.3,18.23,27.9,6.88,-3.37,11.87,13.85,8.71,7.84,8.19,9.86,4.18,4.42,10.86,24.53,22.5,18.49,30.63,40.06,19.71,17.09,-
Depreciation & Amortization,10.54,8.5,11.27,7.58,9.51,12.37,8.91,7.46,6.63,8.29,3.77,4,3.67,4.01,3.43,3.68,3.93,2.84,3.69,3.84,3.84,2.89,3.53,3.37,3.5,3.56,3.79,4.23,3.99,4.19,3.88,5.03,5.28,4.96,5.34,4.32,4.12,4.16,3.96,-
Share-Based Compensation,5.97,5.99,5.46,5.13,5.37,5.11,5.02,5.25,5.8,7.15,3.77,3.66,3.46,2.18,3.39,3.32,3.07,3.51,2.88,2.83,2.43,3,3,2.99,2.32,2.11,2.27,2.18,1.97,3.09,2.63,2.2,1.71,0.41,0.09,0.09,0.09,-0.13,0.09,-
Other Operating Activities,214.58,203.77,164.25,173.52,86.22,80.58,39.75,10.02,28.68,-128.49,38.58,175.24,239.92,287.1,157.24,161.61,179.06,201.66,150.57,117.82,118.83,123.1,122.08,47.97,100.2,78.28,106.31,67.32,82.77,66.92,59.7,28.96,56.34,44.27,95.99,90.87,67.74,98.69,86.11,-
Operating Cash Flow,282.02,269.14,232.69,238.64,153.54,146.71,105.23,102.9,117.03,117.64,139.79,230.93,252.51,242.73,191.15,193.68,221.08,216.68,172.44,142.71,153,135.88,125.24,66.19,119.87,92.67,120.2,81.92,98.59,78.38,70.62,47.06,87.87,72.14,119.9,125.9,112,122.43,107.24,-
Operating Cash Flow Growth,83.68%,83.45%,121.13%,131.91%,31.20%,24.71%,-24.72%,-55.44%,-53.65%,-51.54%,-26.87%,19.23%,14.22%,12.02%,10.85%,35.71%,44.49%,59.47%,37.69%,115.60%,27.65%,46.63%,4.19%,-19.19%,21.58%,18.23%,70.21%,74.08%,12.21%,8.66%,-41.10%,-62.62%,-21.55%,-41.08%,11.81%,-,-,-,-,-
Capital Expenditures,-10.38,-10.34,-9.98,-13.19,-10.12,-7.64,-7.63,-7.3,-7.11,-9.66,-7.12,-7.56,-5.16,-5.3,-4.77,-5.57,-4.43,-3.35,-4.24,-3.72,-3.35,-4.42,-5.5,-3.15,-2.16,-2.93,-3.82,-5.42,-2.23,-3.56,-2.18,-14.93,-11.57,-3.43,-3.03,-3.15,-3.68,-3.33,-6.7,-
Acquisitions,0,0,0,8.71,0,1.93,-0.8,0,-28.36,113.52,0,0,-3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.74,0,-0.7,0,0,0,0,0,-
Change in Investments,-195.05,-430.96,-463.65,-360.36,-376.38,-453.08,-286.21,-175.19,-9.02,-37.52,81.6,137.09,-178.19,-298.99,-265.15,-192.01,-94.9,-128.01,-229.39,-168.47,-108.08,-127.91,-161.13,-118.93,-45.8,-114.76,-145.21,-124.51,-65.67,-124.13,-126.17,-67.71,-4.8,-82.18,-84.67,-76.87,-47.53,-117.74,-127.15,-
Other Investing Activities,-,-,-,-,-,-,-,-,0.03,0.11,-,-,0.06,-50.13,2.07,-17.4,-4.83,-72.43,0.05,0.02,0.02,-57.37,0.32,-0.89,2.37,32.8,-4.86,-14.18,-13.66,0.61,-0.01,0.02,-,-7.87,0.01,-,-,-,-,-
Investing Cash Flow,-205.43,-441.3,-473.63,-364.84,-386.5,-458.79,-294.63,-182.49,-44.45,66.45,74.48,129.53,-186.88,-354.41,-267.85,-214.98,-104.16,-203.79,-233.58,-172.17,-111.41,-189.7,-166.32,-122.96,-45.59,-84.89,-153.89,-144.11,-81.56,-127.08,-128.36,-100.36,-16.37,-94.18,-87.69,-80.02,-51.21,-121.07,-133.85,-
Share Issuance / Repurchase,-20.94,-18.21,-19.25,-25,-76.38,-93.29,-15.12,0.88,6.32,-1.8,-0.01,-12.89,-41.52,-23.17,-0.57,1.38,-7.85,-15.75,2.4,3.44,-0.67,-2.94,-1.44,-0.14,-0.54,-0.32,-0.05,-0,-0.06,-0.19,0,0,0,0,0,0,0,0,0,-
Debt Issued / Paid,54.49,197.23,218.03,137.53,310.91,343,45.96,151.37,-73.98,-348.07,-44.2,-186.34,98.85,116.04,87.01,-7.29,-70.06,-103.01,172.43,3.57,-39.94,14.42,110.44,4.74,-19.97,10.28,44.86,-7.07,52.24,56.8,0,0,0,-0.01,0,99.02,-53.3,-18.31,-5.23,-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.36,0.14,-124.67,0.13,0.28,37.74,-
Financing Cash Flow,33.56,179.02,198.78,112.53,234.53,249.72,30.84,152.25,-67.66,-349.87,-44.21,-199.23,57.34,92.87,86.44,-5.91,-77.91,-118.76,174.83,7.01,-40.61,11.48,109,4.61,-20.51,9.96,44.81,-7.07,52.18,56.62,0,0,0,-0.37,0.14,-25.65,-53.16,-18.03,32.51,-
Net Cash Flow,109.99,6.26,-41.62,-14.09,1.96,-62.26,-159.02,72.95,5.01,-165.85,170.03,161.2,122.85,-9.7,2.2,-29.76,40.96,-107.76,108.74,-28.39,6.52,-41.78,67.08,-49.8,56.4,13.18,6.51,-73.04,70.15,7.76,-61.93,-47.21,68.34,-29.14,24.46,23.54,8.76,-13.9,11.17,-
Free Cash Flow,271.64,258.8,222.71,225.44,143.42,139.07,97.6,95.61,109.92,107.98,132.67,223.37,247.36,237.44,186.37,188.11,216.66,213.33,168.21,139,149.65,131.45,119.74,63.05,117.71,89.74,116.38,76.5,96.36,74.82,68.44,32.13,76.29,68.71,116.87,122.75,108.32,119.1,100.54,-
Free Cash Flow Growth,89.40%,86.10%,128.19%,135.80%,30.48%,28.79%,-26.43%,-57.20%,-55.56%,-54.52%,-28.82%,18.75%,14.17%,11.30%,10.80%,35.33%,44.77%,62.28%,40.48%,120.46%,27.14%,46.49%,2.88%,-17.58%,22.15%,19.93%,70.06%,138.11%,26.31%,8.90%,-41.44%,-73.83%,-29.57%,-42.31%,16.25%,-,-,-,-,-
Free Cash Flow Margin,95.01%,89.21%,75.70%,85.21%,53.38%,49.60%,39.61%,36.89%,46.11%,44.35%,72.99%,168.72%,195.49%,68.77%,60.98%,72.50%,81.93%,124.65%,57.24%,54.87%,58.85%,102.01%,54.96%,33.20%,61.22%,44.33%,59.40%,44.34%,55.17%,42.65%,41.42%,21.96%,46.05%,35.29%,56.97%,60.92%,51.96%,57.05%,50.75%,-
Free Cash Flow Per Share,8.67,8.24,6.98,6.94,4.30,3.89,2.66,2.60,3.04,3.09,4.41,7.40,7.65,7.08,5.48,5.56,6.47,6.25,4.92,4.09,4.45,3.92,3.56,1.88,3.53,2.70,3.50,2.31,2.91,2.27,2.07,0.97,2.31,2.08,3.54,3.72,3.28,3.61,3.05,-
