Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Net Income,573,617,565,511,432,377,333,-58,501,281,275,131,30,298,354,346,339,315,360,334,314,413,256,253,189,220.55,108.47,154.67,163.32,170.25,144.62,188.24,157.89,155.65,147.05,156.66,141.18,150.21,170.87,143.03,Upgrade
Depreciation & Amortization,142,129,148,95,112,92,25,203,71,109,80,59,119,78,104,73,131,143,122,123,105,106,96,0,211,80.56,91.2,103.15,105.1,78.21,94.83,72.29,95.66,93.86,86.11,70.85,82.02,71.23,74.95,68.19,Upgrade
Share-Based Compensation,25,23,19,23,40,32,31,38,28,17,20,25,15,19,16,31,17,19,15,29,15,19,21,54,-2,17.43,20.77,16.53,11.27,11.86,13.56,14.48,11.1,10.01,10.86,13.37,9.42,9.36,9.75,9.88,Upgrade
Other Operating Activities,-639,560,85,318,237,-28,144,873,-742,-378,146,-22,316,262,-446,-113,-9,86,27,-199,-152,291,155,-163,-21,192.06,160.2,-199.37,-95.9,363.75,53.75,-178.63,-290.87,-7.92,-5.36,-22.21,-84.61,-38.82,140.68,-31.88,Upgrade
Operating Cash Flow,130,"1,357",846,975,849,497,577,"1,099",-111,64,549,212,498,676,46,355,497,582,542,308,294,848,547,163,396,529.19,399.17,94.85,191.79,632.17,314.73,104.35,-18.26,259.56,246.63,226.64,155.96,199.95,404.21,197.18,Upgrade
Operating Cash Flow Growth,-84.69%,173.04%,46.62%,-11.28%,-,676.56%,5.10%,418.40%,-,-90.53%,1093.48%,-40.28%,0.20%,16.15%,-91.51%,15.26%,69.05%,-31.37%,-0.91%,88.96%,-25.76%,60.24%,37.04%,71.85%,106.48%,-16.29%,26.83%,-9.11%,-,143.56%,27.61%,-53.96%,-,29.81%,-38.98%,14.94%,-26.40%,-38.94%,254.87%,-30.45%,Upgrade
Capital Expenditures,-25,-49,-42,-50,-73,-90,-58,-77,-22,-37,-33,-38,-11,-25,-31,-27,-24,-48,-24,-22,-16,-49,-32,-58,-55,-56.31,-43.84,-7.69,-12.16,-23.98,-25.93,-30,-13.09,-27.3,-9.69,-12.21,-10.61,-13.11,-39.97,-25.19,Upgrade
Acquisitions,0,0,0,-223,0,0,-618,466,0,0,0,0,0,0,7,-555,0,-15,0,0,0,0,0,0,0,-479.78,-133.22,0,0,-0.16,0,0,-457.84,0,705.09,0,-13.45,0,0,0,Upgrade
Change in Investments,"-2,443","-1,343","-1,100","-3,589","-5,332","-4,780","-2,501","3,877",-376,"-2,531","-1,783",-50,"-4,291","-1,268",-180,584,-586,"-1,675",-514,-674,-777,"-2,096","-1,100",-813,-681,-79.4,-92.46,"-1,006.98","-1,585.16","-1,662.55","-1,718.13",-335.32,-708.01,"-1,472.43",-895.08,"-2,390.54",-940.71,"-3,030.11",-575.93,-81.98,Upgrade
Other Investing Activities,169,129,1,12,50,119,-20,96,22,81,33,41,-20,179,20,-66,95,52,19,14,17,-19,10,27,-,30.48,5.53,8.12,7.87,17.36,6.29,12.22,10.14,28.55,13.34,12,8.25,15.65,9.05,16.92,Upgrade
Investing Cash Flow,"-2,299","-1,263","-1,141","-3,850","-5,355","-4,751","-3,197","4,362",-376,"-2,487","-1,783",-47,"-4,322","-1,114",-184,-64,-515,"-1,686",-519,-682,-776,"-2,164","-1,122",-844,-736,-585.01,-263.99,"-1,006.55","-1,589.44","-1,669.33","-1,737.77",-353.1,"-1,168.81","-1,471.19",-186.34,"-2,390.74",-956.52,"-3,027.57",-606.85,-90.24,Upgrade
Dividends Paid,-225,-224,-224,-224,-225,-219,-223,-155,-153,-154,-153,-152,-155,-155,-147,-147,-148,-152,-122,-122,-118,-87,-88,-87,-87,-76.34,-56.57,-55.89,-56.2,-47.43,-48.26,-48.57,-48.74,-45.68,-38.67,-41.44,-41.15,-41.56,-41.48,-33.89,Upgrade
Share Issuance / Repurchase,0,0,0,0,0,-150,-500,0,0,-4,0,0,-88,-196,-68,-152,-25,-200,-691,0,-48,-137,-129,1,5,-6.08,2.2,2.76,1.13,-14.66,-74.01,-96.42,-47.91,-33.7,-45.63,-104.77,-130.02,12.6,-16.2,-75.2,Upgrade
Debt Issued / Paid,"8,401",888,134,"4,063",63,-809,554,"-2,572","-1,047",-863,-570,"-2,810",204,390,"-1,104",855,"1,498",-237,"-1,375",720,"-2,702","3,289","-2,031","2,508","-1,452",992.59,-371.52,"1,450.68",681.25,-88.67,396.12,180.85,-112.3,34.88,-944.8,"3,166.5",-336.81,"1,826.03",144.62,704.91,Upgrade
Other Financing Activities,"-2,342","1,570",853,"-1,580","3,670","1,209",-721,"1,932","3,681","3,764","1,939","7,323","4,460",-67,"1,495",-585,"-2,643","3,066","2,082",89,"2,899","-1,423","2,502","-1,536","1,799","-1,131.12","1,085.47",-434.91,740.56,"1,010.13",793.57,692.99,"1,075.32","1,596.83",630.22,-611.01,"1,280.66",924.02,229.45,-537.54,Upgrade
Financing Cash Flow,"5,834","2,234",763,"2,259","3,508",31,-890,-795,"2,481","2,743","1,216","4,361","4,421",-28,176,-29,"-1,318","2,477",-106,687,31,"1,642",254,886,265,-220.96,659.59,962.63,"1,366.75",859.36,"1,067.43",728.84,866.37,"1,552.33",-398.88,"2,409.29",772.69,"2,721.09",316.39,58.28,Upgrade
Net Cash Flow,"3,665","2,328",468,-616,-998,"-4,223","-3,510","4,666","1,994",320,-18,"4,526",597,-466,38,262,"-1,336","1,373",-83,313,-451,326,-321,205,-75,-276.78,794.76,50.93,-30.91,-177.79,-355.61,480.09,-320.69,340.7,-338.59,245.19,-27.87,-106.53,113.75,165.22,Upgrade
Free Cash Flow,105,"1,308",804,925,776,407,519,"1,022",-133,27,516,174,487,651,15,328,473,534,518,286,278,799,515,105,341,472.88,355.33,87.16,179.63,608.2,288.8,74.35,-31.35,232.26,236.94,214.43,145.35,186.84,364.23,171.99,Upgrade
Free Cash Flow Growth,-86.47%,221.38%,54.91%,-9.49%,-,1407.41%,0.58%,487.36%,-,-95.85%,3340.00%,-46.95%,2.96%,21.91%,-97.10%,14.69%,70.14%,-33.17%,0.58%,172.38%,-18.48%,68.96%,44.94%,20.47%,89.83%,-22.25%,23.03%,17.22%,-,161.86%,21.89%,-65.33%,-,24.31%,-34.95%,24.67%,-22.67%,-33.43%,320.99%,-33.17%,Upgrade
Free Cash Flow Margin,5.72%,69.95%,44.77%,55.09%,47.90%,23.79%,29.54%,95.42%,-9.32%,2.39%,48.22%,20.33%,68.59%,60.67%,1.36%,29.10%,44.04%,48.46%,47.48%,26.88%,27.31%,76.53%,49.28%,10.05%,35.01%,47.57%,41.13%,11.58%,25.04%,82.96%,39.77%,9.89%,-4.62%,32.99%,34.38%,31.50%,21.98%,28.47%,54.59%,26.37%,Upgrade
