Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Net Income,490.1,-647.95,-61.32,-142.8,-65.06,-94.17,269.95,478.36,673.87,592.26,179.16,-486.48,127.87,"1,043.39","1,143.41",949.62,767.53,683.78,724.19,315.82,540.09,650.71,508.53,465.13,-,154.29
Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.07,-,-,-,0.56,5.79,-,-,-,1.5,-
Share-Based Compensation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.66,-,-,-,22.65,64.06,-,-,-,22.13,-
Other Operating Activities,-490.1,647.95,61.32,142.8,65.06,94.17,-269.95,-478.36,-673.87,-592.26,-179.16,486.48,-127.87,"-1,043.39","-1,143.41",218.05,-767.53,-683.78,-724.19,148.6,-146.51,-650.71,-508.53,-465.13,529.45,-154.29
Operating Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,197.39",-,-,-,487.62,463.43,-,-,-,553.09,-
Operating Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145.56%,-,-,-,-,-16.21%,-,-,-,-,-
Capital Expenditures,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-17.13,-,-,-,-109.43,-11.3,-,-,-,-4.61,-
Change in Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,437.24",-,-,-,-369.67,"-4,384.54",-,-,-,"-3,593.53",-
Other Investing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,-,-,-,-791.63,"1,235.21",-,-,-,"2,025.33",-
Investing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,454.33",-,-,-,"-1,270.73","-3,160.63",-,-,-,"-1,572.8",-
Dividends Paid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,-,-838.43,-
Share Issuance / Repurchase,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,"4,918.37",-,-,-,"2,546.17",-
Debt Issued / Paid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525.7,-,-,-,"-1,277.49","5,014.93",-,-,-,"2,589.44",-
Other Financing Activities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-29.09,-,-,-,-606.94,443.77,-,-,-,"-2,728",-
Financing Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,496.61,-,-,-,"-1,884.43","10,377.07",-,-,-,"1,569.18",-
Net Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228.78,-,-,-,"-2,810.08","7,601.93",-,-,-,549.46,-
Free Cash Flow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,180.26",-,-,-,378.19,452.13,-,-,-,548.48,-
Free Cash Flow Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212.08%,-,-,-,-,-17.57%,-,-,-,-,-
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.29%,-,-,-,22.03%,30.32%,-,-,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.98,-,-,-,1.16,3.58,-,-,-,6.92,-
